sku,produto,fornecedor,custo,estoque,revisado_65,anterior,fila,etapa,identidade,conflito,economia,demanda,preco_competitivo,preco_piso,preco_alvo,break_even,margem_competitiva_pct,contribuicao,tributo_pct,tributo_status,recuperado_piso_10,motivos,avisos,revisao_identidade_previa,recomendacao,fonte,avaliado_em
VTK003366,Encordoamento Para Guitarra 0.10 Niquel Regular Slinky 2221 Ernie Ball,BKR 1 Comercio e Importação Ltda,57.78,14,FALSE,NAO_CONCLUSIVO,REATIVACOES,REATIVACAO_CANDIDATA,IDENTIDADE_INCONCLUSIVA,INCONCLUSIVO,INCONCLUSIVO,RANKING_ML,49,,,,,,8.279935224,estimated,FALSE,EVIDENCIA_IDENTIDADE_INCOMPLETA; REATIVACAO_CANDIDATA; INCONCLUSIVO,APRESENTACAO_NAO_EXPLICITA,,Revisar reativação do anúncio existente,mercado/VTK003366.json,2026-09-05T15:16:37.457Z
VTK002038,Ventilador de Mesa Ventisol Turbo 6 40cm Preto/Cinza 220v,Evolusom Comercial Ltda,114.9,7,FALSE,NAO_CONCLUSIVO,REATIVACOES,REATIVACAO_CANDIDATA,IDENTIDADE_COHERENTE,INCONCLUSIVO,INCONCLUSIVO,RANKING_ML,89.9,,,,,,8.279935224,estimated,FALSE,REATIVACAO_CANDIDATA; INCONCLUSIVO,APRESENTACAO_NAO_EXPLICITA,,Revisar reativação do anúncio existente,mercado/VTK002038.json,2026-09-05T15:16:37.457Z
VTK022227,Panela Elétrica Arroz E Legumes Agratto Riso Pa10x 10 Xícaras - 220v,Evolusom Comercial Ltda,154.9,4,FALSE,NAO_CONCLUSIVO,REATIVACOES,REATIVACAO_CANDIDATA,IDENTIDADE_COHERENTE,INCONCLUSIVO,INCONCLUSIVO,RANKING_ML,150,,,,,,8.279935224,estimated,FALSE,REATIVACAO_CANDIDATA; INCONCLUSIVO,APRESENTACAO_NAO_EXPLICITA,,Revisar reativação do anúncio existente,mercado/VTK022227.json,2026-09-05T15:16:37.457Z
VTK002677,Ventilador de Parede Ventisol Turbo 6 Steel 50cm,Evolusom Comercial Ltda,189.9,50,FALSE,NAO_CONCLUSIVO,REATIVACOES,REATIVACAO_CANDIDATA,IDENTIDADE_COHERENTE,INCONCLUSIVO,INCONCLUSIVO,SINAL_INDIRETO,229,,,,,,8.279935224,estimated,FALSE,REATIVACAO_CANDIDATA; INCONCLUSIVO,APRESENTACAO_NAO_EXPLICITA,,Revisar reativação do anúncio existente,mercado/VTK002677.json,2026-09-05T15:16:37.457Z
VTK012625,Escova Rotativa Della Bivolt 1200w Agratto,Evolusom Comercial Ltda,103.9,50,FALSE,NAO_CONCLUSIVO,REATIVACOES,REATIVACAO_CANDIDATA,IDENTIDADE_COHERENTE,INCONCLUSIVO,INCONCLUSIVO,SINAL_INDIRETO,115,,,,,,8.279935224,estimated,FALSE,REATIVACAO_CANDIDATA; INCONCLUSIVO,APRESENTACAO_NAO_EXPLICITA,,Revisar reativação do anúncio existente,mercado/VTK012625.json,2026-09-05T15:16:37.457Z
VTK000171,Ventilador de Parede Ventisol Oscilante 60cm Aço Preto Bivolt,Evolusom Comercial Ltda,196.9,15,FALSE,NAO_CONCLUSIVO,REATIVACOES,REATIVACAO_CANDIDATA,IDENTIDADE_INCONCLUSIVA,INCONCLUSIVO,INCONCLUSIVO,SINAL_INDIRETO,246.9,,,,,,8.279935224,estimated,FALSE,EVIDENCIA_IDENTIDADE_INCOMPLETA; REATIVACAO_CANDIDATA; INCONCLUSIVO,APRESENTACAO_NAO_EXPLICITA,,Revisar reativação do anúncio existente,mercado/VTK000171.json,2026-09-05T15:16:37.457Z
VTK000118,Ventilador de Parede Ventisol Power 70 68cm Preto/Prata Bivolt,BKR 1 Comercio e Importação Ltda,332.95,7,FALSE,NAO_CONCLUSIVO,REATIVACOES,REATIVACAO_CANDIDATA,IDENTIDADE_INCONCLUSIVA,INCONCLUSIVO,INCONCLUSIVO,SINAL_INDIRETO,349,,,,,,8.279935224,estimated,FALSE,COMPOSICAO_KIT_NAO_COMPROVADA; REATIVACAO_CANDIDATA; INCONCLUSIVO,,,Revisar reativação do anúncio existente,mercado/VTK000118.json,2026-09-05T15:16:37.457Z
VTK001681,Ferro de Solda 21K016 75W 110V Hikari,Evolusom Comercial Ltda,77.2,7,FALSE,NAO_CONCLUSIVO,REATIVACOES,REATIVACAO_CANDIDATA,IDENTIDADE_COHERENTE,INCONCLUSIVO,INCONCLUSIVO,SINAL_INDIRETO,94.24,,,,,,8.279935224,estimated,FALSE,REATIVACAO_CANDIDATA; INCONCLUSIVO,APRESENTACAO_NAO_EXPLICITA,,Revisar reativação do anúncio existente,mercado/VTK001681.json,2026-09-05T15:16:37.457Z
VTK000622,Ventilador de Teto Ventisol Aires 3 Pás Branco Bivolt,BKR 1 Comercio e Importação Ltda,230.46,5,FALSE,NAO_CONCLUSIVO,REATIVACOES,REATIVACAO_CANDIDATA,IDENTIDADE_INCONCLUSIVA,INCONCLUSIVO,INCONCLUSIVO,SINAL_INDIRETO,252.69,,,,,,8.279935224,estimated,FALSE,COMPOSICAO_KIT_NAO_COMPROVADA; REATIVACAO_CANDIDATA; INCONCLUSIVO,,,Revisar reativação do anúncio existente,mercado/VTK000622.json,2026-09-05T15:16:37.457Z
VTK017451,Filtro de Linha Multi WI251 6 Tomadas e 2 Portas USB Bivolt,Evolusom Comercial Ltda,45.9,50,FALSE,NAO_CONCLUSIVO,REATIVACOES,REATIVACAO_CANDIDATA,IDENTIDADE_INCONCLUSIVA,INCONCLUSIVO,INCONCLUSIVO,SEM_EVIDENCIA_DE_DEMANDA,57.67,,,,,,8.279935224,estimated,FALSE,EVIDENCIA_IDENTIDADE_INCOMPLETA; REATIVACAO_CANDIDATA; INCONCLUSIVO,APRESENTACAO_NAO_EXPLICITA,,Revisar reativação do anúncio existente,mercado/VTK017451.json,2026-09-05T15:16:37.457Z
VTK012203,Baqueta Vanguarda,BKR 1 Comercio e Importação Ltda,6.97,47,FALSE,NAO_CONCLUSIVO,REATIVACOES,REATIVACAO_CANDIDATA,IDENTIDADE_INCONCLUSIVA,INCONCLUSIVO,INCONCLUSIVO,SEM_EVIDENCIA_DE_DEMANDA,,,,,,,8.279935224,estimated,FALSE,EVIDENCIA_IDENTIDADE_INCOMPLETA; REATIVACAO_CANDIDATA; INCONCLUSIVO,APRESENTACAO_NAO_EXPLICITA,,Revisar reativação do anúncio existente,,2026-09-05T15:16:37.457Z
VTK017376,Mastro Proeletronic Ktaa-2000 De Alumínio Para Fixação De Antena,Evolusom Comercial Ltda,18.8,24,FALSE,NAO_CONCLUSIVO,REATIVACOES,REATIVACAO_CANDIDATA,IDENTIDADE_INCONCLUSIVA,INCONCLUSIVO,INCONCLUSIVO,SEM_EVIDENCIA_DE_DEMANDA,24.15,,,,,,8.279935224,estimated,FALSE,EVIDENCIA_IDENTIDADE_INCOMPLETA; REATIVACAO_CANDIDATA; INCONCLUSIVO,APRESENTACAO_NAO_EXPLICITA,,Revisar reativação do anúncio existente,mercado/VTK017376.json,2026-09-05T15:16:37.457Z
VTK003763,Aspirador de Pó e Água Agratto GT1500 Turbo 11 litros 1400W 127v,Evolusom Comercial Ltda,379.9,16,FALSE,NAO_CONCLUSIVO,REATIVACOES,REATIVACAO_CANDIDATA,IDENTIDADE_COHERENTE,INCONCLUSIVO,INCONCLUSIVO,SEM_EVIDENCIA_DE_DEMANDA,349.7,,,,,,8.279935224,estimated,FALSE,REATIVACAO_CANDIDATA; INCONCLUSIVO,APRESENTACAO_NAO_EXPLICITA,,Revisar reativação do anúncio existente,mercado/VTK003763.json,2026-09-05T15:16:37.457Z
VTK000877,Caixa de Som Aquário HP-480 Bluetooth 480w Preta,Evolusom Comercial Ltda,449.9,12,FALSE,NAO_CONCLUSIVO,REATIVACOES,REATIVACAO_CANDIDATA,IDENTIDADE_COHERENTE,INCONCLUSIVO,INCONCLUSIVO,SEM_EVIDENCIA_DE_DEMANDA,479.85,,,,,,8.279935224,estimated,FALSE,REATIVACAO_CANDIDATA; INCONCLUSIVO,APRESENTACAO_NAO_EXPLICITA,,Revisar reativação do anúncio existente,mercado/VTK000877.json,2026-09-05T15:16:37.457Z
VTK017825,Régua Elétrica Max Eletron 19 Polegadas 8 Tomadas 10A Bivolt,Evolusom Comercial Ltda,74.9,9,FALSE,NAO_CONCLUSIVO,REATIVACOES,REATIVACAO_CANDIDATA,IDENTIDADE_INCONCLUSIVA,INCONCLUSIVO,INCONCLUSIVO,SEM_EVIDENCIA_DE_DEMANDA,,,,,,,8.279935224,estimated,FALSE,EVIDENCIA_IDENTIDADE_INCOMPLETA; REATIVACAO_CANDIDATA; INCONCLUSIVO,APRESENTACAO_NAO_EXPLICITA,,Revisar reativação do anúncio existente,mercado/VTK017825.json,2026-09-05T15:16:37.457Z
VTK026018,Suporte De Parede C/espelho P/instrumentos Spg20,BKR 1 Comercio e Importação Ltda,29.46,9,FALSE,NAO_CONCLUSIVO,REATIVACOES,REATIVACAO_CANDIDATA,IDENTIDADE_COHERENTE,INCONCLUSIVO,INCONCLUSIVO,SEM_EVIDENCIA_DE_DEMANDA,40.5,,,,,,8.279935224,estimated,FALSE,REATIVACAO_CANDIDATA; INCONCLUSIVO,APRESENTACAO_NAO_EXPLICITA,,Revisar reativação do anúncio existente,mercado/VTK026018.json,2026-09-05T15:16:37.457Z
VTK001397,"Fio Walkman 2x0,10mm Tiaflex - RL / 100",Evolusom Comercial Ltda,259.9,5,FALSE,NAO_CONCLUSIVO,REATIVACOES,REATIVACAO_CANDIDATA,IDENTIDADE_COHERENTE,INCONCLUSIVO,INCONCLUSIVO,SEM_EVIDENCIA_DE_DEMANDA,,,,,,,8.279935224,estimated,FALSE,REATIVACAO_CANDIDATA; INCONCLUSIVO,APRESENTACAO_NAO_EXPLICITA,,Revisar reativação do anúncio existente,mercado/VTK001397.json,2026-09-05T15:16:37.457Z
VTK018918,Video Porteiro Hikvision Ds-kh8300-t,Evolusom Comercial Ltda,657.9,4,FALSE,NAO_CONCLUSIVO,REATIVACOES,REATIVACAO_CANDIDATA,IDENTIDADE_INCONCLUSIVA,INCONCLUSIVO,INCONCLUSIVO,SEM_EVIDENCIA_DE_DEMANDA,,,,,,,8.279935224,estimated,FALSE,EVIDENCIA_IDENTIDADE_INCOMPLETA; REATIVACAO_CANDIDATA; INCONCLUSIVO,APRESENTACAO_NAO_EXPLICITA,,Revisar reativação do anúncio existente,,2026-09-05T15:16:37.457Z
VTK003908,"Fritadeira Elétrica Air Fryer Agratto Supremma FES-01 3,6l Preta 127v",BKR 1 Comercio e Importação Ltda,220,2,FALSE,NAO_CONCLUSIVO,REATIVACOES,REATIVACAO_CANDIDATA,IDENTIDADE_INCONCLUSIVA,INCONCLUSIVO,INCONCLUSIVO,SEM_EVIDENCIA_DE_DEMANDA,,,,,,,8.279935224,estimated,FALSE,EVIDENCIA_IDENTIDADE_INCOMPLETA; REATIVACAO_CANDIDATA; INCONCLUSIVO,APRESENTACAO_NAO_EXPLICITA,,Revisar reativação do anúncio existente,,2026-09-05T15:16:37.457Z
VTK012894,Caixa De Som Passiva 12 Polegadas 300 W Rms - Attack Vsf112,BKR 1 Comercio e Importação Ltda,1776.6,2,TRUE,APROVADO_NOS_CUSTOS_CONSIDERADOS,EXPLORATORIOS,PRONTO_PARA_PREPARACAO,IDENTIDADE_COHERENTE,SEM_CONFLITO,VIAVEL_ACIMA_DO_PISO,SEM_EVIDENCIA_DE_DEMANDA,2800,2700.76,2912.69,2357.68,12.43607143,348.21,8.279935224,estimated,FALSE,,APRESENTACAO_NAO_EXPLICITA; CUSTOS_VARIAVEIS_NAO_INFORMADOS; TRIBUTO_ESTIMADO,"Caixa passiva Attack VSF112, woofer de 12 polegadas, 300 W; fornecedor confirma modelo e caixa completa.",Explorar demanda; validar pendências antes de aprovar,mercado/VTK012894.json,2026-09-05T15:16:37.457Z
VTK017284,Identificador De Fibra Ativa Evus Ev-430 10mw,Evolusom Comercial Ltda,799.9,50,TRUE,APROVADO_NOS_CUSTOS_CONSIDERADOS,EXPLORATORIOS,PRONTO_PARA_PREPARACAO,IDENTIDADE_COHERENTE,SEM_CONFLITO,VIAVEL_NO_ALVO,SEM_EVIDENCIA_DE_DEMANDA,1296,1197.86,1291.85,1045.69,15.20524691,197.06,8.279935224,estimated,FALSE,,APRESENTACAO_NAO_EXPLICITA; CUSTOS_VARIAVEIS_NAO_INFORMADOS; TRIBUTO_ESTIMADO,"Evus EV-430, identificador de fibra com VFL 10 mW; modelo e função coincidem.",Explorar demanda; validar pendências antes de aprovar,mercado/VTK017284.json,2026-09-05T15:16:37.457Z
VTK018779,Central De Cerca Elétrica Gcp Shock Battery Cx-7804,Evolusom Comercial Ltda,115.9,5,TRUE,APROVADO_NOS_CUSTOS_CONSIDERADOS,EXPLORATORIOS,PRONTO_PARA_PREPARACAO,IDENTIDADE_COHERENTE,SEM_CONFLITO,VIAVEL_NO_ALVO,SEM_EVIDENCIA_DE_DEMANDA,330.16,185,190.07,173.47,38.07244972,125.7,8.279935224,estimated,FALSE,,APRESENTACAO_NAO_EXPLICITA; CUSTOS_VARIAVEIS_NAO_INFORMADOS; TRIBUTO_ESTIMADO,Central GCP/PPA Shock Battery CX-7804; fornecedor confirma modelo e três baterias inclusas.,Explorar demanda; validar pendências antes de aprovar,mercado/VTK018779.json,2026-09-05T15:16:37.457Z
VTK017309,Kit Cooler Fan Evus Fk-12p Rgb,Evolusom Comercial Ltda,89.9,50,TRUE,APROVADO_NOS_CUSTOS_CONSIDERADOS,EXPLORATORIOS,PRONTO_PARA_PREPARACAO,IDENTIDADE_COHERENTE,SEM_CONFLITO,VIAVEL_NO_ALVO,SEM_EVIDENCIA_DE_DEMANDA,282.99,155.14,159.46,145.27,38.30877416,108.41,8.279935224,estimated,FALSE,,CUSTOS_VARIAVEIS_NAO_INFORMADOS; TRIBUTO_ESTIMADO,"Evus FK-12P; fornecedor confirma quatro coolers, controladora e controle remoto.",Explorar demanda; validar pendências antes de aprovar,mercado/VTK017309.json,2026-09-05T15:16:37.457Z
VTK017675,Headset Pro Evus Comanche F-14 7.1,Evolusom Comercial Ltda,149.9,22,TRUE,APROVADO_NOS_CUSTOS_CONSIDERADOS,EXPLORATORIOS,PRONTO_PARA_PREPARACAO,IDENTIDADE_COHERENTE,SEM_CONFLITO,VIAVEL_NO_ALVO,SEM_EVIDENCIA_DE_DEMANDA,329.36,244.52,255.17,222.76,25.47668205,83.91,8.279935224,estimated,FALSE,,APRESENTACAO_NAO_EXPLICITA; CUSTOS_VARIAVEIS_NAO_INFORMADOS; TRIBUTO_ESTIMADO,"Headset Evus F-14 Comanche, som 7.1 virtual via USB; fornecedor confirma modelo e conexões.",Explorar demanda; validar pendências antes de aprovar,mercado/VTK017675.json,2026-09-05T15:16:37.457Z
VTK018412,Caixa De Medusa Santo Angelo Bsmed16 16 Vias,Evolusom Comercial Ltda,159.9,8,TRUE,APROVADO_NOS_CUSTOS_CONSIDERADOS,EXPLORATORIOS,PRONTO_PARA_PREPARACAO,IDENTIDADE_COHERENTE,SEM_CONFLITO,VIAVEL_NO_ALVO,SEM_EVIDENCIA_DE_DEMANDA,322.27,248.39,258.87,226.98,24.01402551,77.39,8.279935224,estimated,FALSE,,APRESENTACAO_NAO_EXPLICITA; CUSTOS_VARIAVEIS_NAO_INFORMADOS; TRIBUTO_ESTIMADO,"Caixa Medusa Santo Angelo BSMED16, 16 vias; não prometer conectores inclusos.",Explorar demanda; validar pendências antes de aprovar,mercado/VTK018412.json,2026-09-05T15:16:37.457Z
VTK018798,"Central Multimídia Roadstar Rs606br 7"" Mp6 Com Tv Digital",Evolusom Comercial Ltda,549.9,4,TRUE,FORA_DO_PISO_COMPETITIVO,EXPLORATORIOS,PRONTO_PARA_PREPARACAO,IDENTIDADE_COHERENTE,SEM_CONFLITO,VIAVEL_ACIMA_DO_PISO,SEM_EVIDENCIA_DE_DEMANDA,818,791.21,825.25,721.72,9.383863081,76.76,8.279935224,estimated,TRUE,,APRESENTACAO_NAO_EXPLICITA; CUSTOS_VARIAVEIS_NAO_INFORMADOS; TRIBUTO_ESTIMADO,Roadstar RS-606BR Prime DTV de 7 polegadas com TV digital e espelhamento.,Explorar demanda; validar pendências antes de aprovar,mercado/VTK018798.json,2026-09-05T15:16:37.457Z
VTK018343,"Alto Falante Bravox Flat Flt10d-4 10"" 180w Rms 4r+4r Subwoofer",Evolusom Comercial Ltda,290.99,7,TRUE,APROVADO_NOS_CUSTOS_CONSIDERADOS,EXPLORATORIOS,PRONTO_PARA_PREPARACAO,IDENTIDADE_COHERENTE,SEM_CONFLITO,VIAVEL_NO_ALVO,SEM_EVIDENCIA_DE_DEMANDA,478.24,425.67,443.47,389.19,15.21830043,72.78,8.279935224,estimated,FALSE,,APRESENTACAO_NAO_EXPLICITA; CUSTOS_VARIAVEIS_NAO_INFORMADOS; TRIBUTO_ESTIMADO,"Bravox FLT10D-4, 10 polegadas, 180 W RMS, bobina dupla de 4 + 4 ohms.",Explorar demanda; validar pendências antes de aprovar,mercado/VTK018343.json,2026-09-05T15:16:37.457Z
VTK018405,Cabo Extensor Para Microfone Ptt Aquário Ac-04 4 Pinos 5m,Evolusom Comercial Ltda,72.9,9,TRUE,APROVADO_NOS_CUSTOS_CONSIDERADOS,EXPLORATORIOS,PRONTO_PARA_PREPARACAO,IDENTIDADE_COHERENTE,SEM_CONFLITO,VIAVEL_NO_ALVO,SEM_EVIDENCIA_DE_DEMANDA,208.9,128.26,131.84,120.11,33.45619914,69.89,8.279935224,estimated,FALSE,,APRESENTACAO_NAO_EXPLICITA; CUSTOS_VARIAVEIS_NAO_INFORMADOS; TRIBUTO_ESTIMADO,"Extensor PTT Aquário AC-04 de 5 metros, conector de quatro pinos.",Explorar demanda; validar pendências antes de aprovar,mercado/VTK018405.json,2026-09-05T15:16:37.457Z
VTK018564,Interruptor Smart Wi-fi Ews101 Intelbras 4850000,Evolusom Comercial Ltda,105.64,8,TRUE,APROVADO_NOS_CUSTOS_CONSIDERADOS,EXPLORATORIOS,PRONTO_PARA_PREPARACAO,IDENTIDADE_COHERENTE,SEM_CONFLITO,VIAVEL_NO_ALVO,SEM_EVIDENCIA_DE_DEMANDA,237.9,167.03,171.53,156.73,27.71332493,65.93,8.279935224,estimated,FALSE,,APRESENTACAO_NAO_EXPLICITA; CUSTOS_VARIAVEIS_NAO_INFORMADOS; TRIBUTO_ESTIMADO,Interruptor Intelbras EWS 101 I; fornecedor confirma interruptor Wi-Fi de embutir.,Explorar demanda; validar pendências antes de aprovar,mercado/VTK018564.json,2026-09-05T15:16:37.457Z
VTK018402,"Cooler Plano Para Notebooks Até 16"" Targus - Awe69us",Evolusom Comercial Ltda,84.9,9,TRUE,APROVADO_NOS_CUSTOS_CONSIDERADOS,EXPLORATORIOS,PRONTO_PARA_PREPARACAO,IDENTIDADE_COHERENTE,SEM_CONFLITO,VIAVEL_NO_ALVO,SEM_EVIDENCIA_DE_DEMANDA,220.25,148.34,152.49,138.93,29.07150965,64.03,8.279935224,estimated,FALSE,,APRESENTACAO_NAO_EXPLICITA; CUSTOS_VARIAVEIS_NAO_INFORMADOS; TRIBUTO_ESTIMADO,"Targus AWE69US, base com cooler para notebook de até 16 polegadas.",Explorar demanda; validar pendências antes de aprovar,mercado/VTK018402.json,2026-09-05T15:16:37.457Z
VTK018538,Sensor De Presença Multilaser Microondas Com Pet Immunity 90° De Cobertura Até 45kg Se414,Evolusom Comercial Ltda,233.9,6,TRUE,APROVADO_NOS_CUSTOS_CONSIDERADOS,EXPLORATORIOS,PRONTO_PARA_PREPARACAO,IDENTIDADE_COHERENTE,SEM_CONFLITO,VIAVEL_NO_ALVO,SEM_EVIDENCIA_DE_DEMANDA,400,352.85,367.94,322.06,15.6325,62.53,8.279935224,estimated,FALSE,,APRESENTACAO_NAO_EXPLICITA; CUSTOS_VARIAVEIS_NAO_INFORMADOS; TRIBUTO_ESTIMADO,"Multi SE414, sensor de dupla tecnologia com imunidade pet de até 45 kg.",Explorar demanda; validar pendências antes de aprovar,mercado/VTK018538.json,2026-09-05T15:16:37.457Z
VTK018319,Esmerilhadeira Angular Multilaser Fe048 700w 127v,Evolusom Comercial Ltda,155.9,6,TRUE,APROVADO_NOS_CUSTOS_CONSIDERADOS,EXPLORATORIOS,PRONTO_PARA_PREPARACAO,IDENTIDADE_COHERENTE,SEM_CONFLITO,VIAVEL_NO_ALVO,SEM_EVIDENCIA_DE_DEMANDA,303.9,248.19,258.72,226.65,20.51661731,62.35,8.279935224,estimated,FALSE,,APRESENTACAO_NAO_EXPLICITA; CUSTOS_VARIAVEIS_NAO_INFORMADOS; TRIBUTO_ESTIMADO,"Esmerilhadeira Multi FE048, 700 W, 127 V, disco de 115 mm; modelo e tensão conferidos.",Explorar demanda; validar pendências antes de aprovar,mercado/VTK018319.json,2026-09-05T15:16:37.457Z
