index,sku,state,item_id,catalog_product_id,price,margin_percent,persisted,observation
"16","VTK017982","BLOCK_REQUIRED_ATTRIBUTE","","MLB33224813","","","false","""missing category-required attributes: CALCULATOR_TYPE"""
"17","VTK017944","BLOCK_REQUIRED_ATTRIBUTE","","","","","false","""missing category-required attributes: PART_NUMBER,VEHICLE_TYPE"""
"18","VTK018024","BLOCK_REQUIRED_ATTRIBUTE","","MLB21742933","","","false","""missing category-required attributes: VOLTAGE"""
"19","VTK019952","BLOCK_CATALOG_IDENTITY","","","","","false","""required catalog title represents two extensions while the official TS5121 identity is one additional extension"""
"20","VTK000540","BLOCK_IMAGE","","","","","false","""local product has zero images and the replacement-seat identity cannot use a similar chair image"""
"21","VTK017155","SOURCE_DEFERRED","","","","","false","""official ASK PNT1 identity/category evidence was not available in the validated source set"""
"22","VTK025954","BLOCK_GTIN_BRAND_CONFLICT","","","","","false","""GTIN identifies Rochedo Trendy 6 L while local master brand is ARNO"""
"23","VTK025859","BLOCK_REQUIRED_ATTRIBUTE","","MLB27356383","","","false","""missing category-required attributes: INCLUDES_ASSEMBLY_MANUAL"""
"24","VTK025860","BLOCK_REQUIRED_ATTRIBUTE","","MLB27011060","","","false","""missing category-required attributes: INCLUDES_ASSEMBLY_MANUAL"""
"25","VTK000378","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB7432625530","MLB16097954","4089.9","55.030685","true",""""""
"26","VTK000092","BLOCK_CATALOG_IDENTITY","","MLB21693541","","","false","{""expected"":""MLB21693541"",""identity"":{""fields"":{""catalog_id"":true,""catalog_required"":true,""gtin"":true,""brand"":true,""model"":true},""critical"":{""COLOR"":false},""passed"":false},""results"":[""MLB21693541""]}"
"27","VTK006567","BLOCK_CATALOG_IDENTITY","","","","","false","""required catalog exposes a generic MODEL value instead of official/local FMQ identity"""
"28","VTK000568","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB7432502124","MLB28659224","1009.9","55.290623","true",""""""
"29","VTK000799","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB5075741703","MLB37849530","3829.9","55.804851","true",""""""
"30","VTK025955","SOURCE_DEFERRED","","","","","false","""Arno LQ11 220 V has no exact ML catalog and primary official evidence was not captured in this run"""
"31","VTK005382","BLOCK_CATALOG_IDENTITY","","","","","false","""required catalog voltage is 220V while Ventisol manufacturer confirms EXB150 as bivolt 127V/220V"""
"32","VTK005397","BLOCK_CATALOG_IDENTITY","","MLB22548833","","","false","{""expected"":""MLB22548833"",""identity"":{""fields"":{""catalog_id"":true,""catalog_required"":true,""gtin"":true,""brand"":true,""model"":false},""critical"":{""VOLTAGE"":false},""passed"":false},""results"":[""MLB22548833""]}"
"33","VTK001089","BLOCK_CATALOG_IDENTITY","","MLB23013100","","","false","{""expected"":""MLB23013100"",""identity"":{""fields"":{""catalog_id"":true,""catalog_required"":true,""gtin"":true,""brand"":true,""model"":true},""critical"":{""COLOR"":false},""passed"":false},""results"":[""MLB23013100""]}"
"34","VTK000223","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB5075741727","MLB15243051","3409.9","55.881111","true",""""""
"35","VTK001288","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB7432625640","MLB23892377","549.9","52.174941","true",""""""
"36","VTK000504","BLOCK_IMAGE","","","","","false","""local ThunderX3 Core Sync6 mechanism has zero images"""
"37","VTK001075","BLOCK_GTIN_UNIT_CONFLICT","","","","","false","""GTIN catalog is a 20-unit CAT6 kit while local product is a 100-unit CAT5e kit"""
"38","VTK011959","BLOCK_GTIN_BRAND_CONFLICT","","","","","false","""GTIN catalog identifies an Armarinho São José bag strap, not a Fortrek right armrest"""
"39","VTK000429","BLOCK_REQUIRED_ATTRIBUTE","","MLB24885316","","","false","""missing category-required attributes: OUTPUT_CONNECTORS"""
"40","VTK011960","SOURCE_DEFERRED","","","","","false","""Fortrek left-armrest official part identity was not found; side is identity-critical"""
"41","VTK003043","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB5075741783","MLB15963092","3299.9","55.068638","true",""""""
"42","VTK006193","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB5075741815","MLB47135497","269.9","54.924046","true",""""""
"43","VTK002528","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB7432625710","MLB65679273","279.9","54.951768","true",""""""
"44","VTK025858","BLOCK_REQUIRED_ATTRIBUTE","","MLB34692956","","","false","""missing category-required attributes: SEAT_DEPTH,MAX_CHAIR_HEIGHT,INCLUDES_ASSEMBLY_MANUAL"""
"45","VTK025861","BLOCK_REQUIRED_ATTRIBUTE","","MLB28408894","","","false","""missing category-required attributes: INCLUDES_ASSEMBLY_MANUAL"""
"46","VTK006318","BLOCK_IMAGE","","","","","false","""local Fortrek CG633 charger has zero images"""
"47","VTK002577","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB7432502292","MLB27866916","279.9","55.162558","true",""""""
"48","VTK001155","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB7432502310","MLB29649341","439.9","55.919527","true",""""""
"49","VTK006152","SAFE_PUBLICATION_PERSIST_SUCCESS","MLB7432502350","MLB46998207","279.9","55.89139","true",""""""
"50","VTK017783","BLOCK_CATEGORY","","","","","false","""exact required catalog has no seller offer and domain discovery returned no high-confidence category"""
