sku,pricing_group_id,origin_ml_item_id,ml_item_ids,previous_price,applied_price,http_status,confirmed_at,observed_prices,warnings
VTK012028,VTK012028|MLB16236951,MLB4857626165,"[""MLB4857626165"",""MLB7313984020""]",46.93,26.98,"{""MLB4857626165"":200,""MLB7313984020"":200}",2026-09-05T01:01:48.368Z,"{""MLB4857626165"":26.98,""MLB7313984020"":26.98}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]},{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK000401,VTK000401|MLB4857625795,MLB4857625795,"[""MLB4857625795""]",50.34,29.68,"{""MLB4857625795"":200}",2026-09-05T01:01:49.177Z,"{""MLB4857625795"":29.68}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK012208,VTK012208|MLB26242562,MLB7111714314,"[""MLB7149273758"",""MLB7111714314""]",50.46,30.09,"{""MLB7111714314"":200,""MLB7149273758"":200}",2026-09-05T01:01:52.583Z,"{""MLB7149273758"":30.09,""MLB7111714314"":30.09}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]},{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK012507,VTK012507|MLB75104651,MLB4857625681,"[""MLB7149338770"",""MLB4857625681""]",50.61,29.98,"{""MLB4857625681"":200,""MLB7149338770"":200}",2026-09-05T01:01:56.801Z,"{""MLB7149338770"":29.98,""MLB4857625681"":29.98}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]},{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK012345,VTK012345|MLB21465199,MLB4857625685,"[""MLB4857625685"",""MLB4886661609""]",51.26,30.72,"{""MLB4857625685"":200,""MLB4886661609"":200}",2026-09-05T01:02:00.136Z,"{""MLB4857625685"":30.72,""MLB4886661609"":30.72}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]},{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK002685,VTK002685|MLB4857625615,MLB4857625615,"[""MLB4857625615""]",51.63,31.43,"{""MLB4857625615"":200}",2026-09-05T01:02:00.870Z,"{""MLB4857625615"":31.43}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK012126,VTK012126|MLB36777223,MLB4857637599,"[""MLB4880590401"",""MLB4857637599""]",52.57,32.65,"{""MLB4857637599"":200,""MLB4880590401"":200}",2026-09-05T01:02:04.219Z,"{""MLB4880590401"":32.65,""MLB4857637599"":32.65}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]},{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK002430,VTK002430|MLB35749153,MLB4857624969,"[""MLB4857624969"",""MLB7149373024""]",52.82,32.51,"{""MLB4857624969"":200,""MLB7149373024"":200}",2026-09-05T01:02:07.628Z,"{""MLB4857624969"":32.51,""MLB7149373024"":32.51}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]},{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK012479,VTK012479|MLB4857637573,MLB4857637573,"[""MLB4857637573""]",53.23,32.98,"{""MLB4857637573"":200}",2026-09-05T01:02:08.328Z,"{""MLB4857637573"":32.98}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK012452,VTK012452|MLB4857624913,MLB4857624913,"[""MLB4857624913""]",53.3,33.06,"{""MLB4857624913"":200}",2026-09-05T01:02:09.119Z,"{""MLB4857624913"":33.06}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK012451,VTK012451|MLB35276021,MLB7111713758,"[""MLB4880526513"",""MLB7111713758""]",53.7,33.51,"{""MLB7111713758"":200,""MLB4880526513"":200}",2026-09-05T01:02:12.453Z,"{""MLB4880526513"":33.51,""MLB7111713758"":33.51}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]},{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK003140,VTK003140|MLB4857625235,MLB4857625235,"[""MLB4857625235""]",54.66,34.61,"{""MLB4857625235"":200}",2026-09-05T01:02:13.157Z,"{""MLB4857625235"":34.61}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK003606,VTK003606|MLB23159703,MLB4857624907,"[""MLB7149338946"",""MLB4857624907""]",54.74,34.71,"{""MLB4857624907"":200,""MLB7149338946"":200}",2026-09-05T01:02:16.509Z,"{""MLB7149338946"":34.71,""MLB4857624907"":34.71}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]},{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK003146,VTK003146|MLB7111713568,MLB7111713568,"[""MLB7111713568""]",54.81,35.33,"{""MLB7111713568"":200}",2026-09-05T01:02:17.315Z,"{""MLB7111713568"":35.33}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK004180,VTK004180|MLB7111713682,MLB7111713682,"[""MLB7111713682""]",55.1,35.11,"{""MLB7111713682"":200}",2026-09-05T01:02:18.254Z,"{""MLB7111713682"":35.11}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK000364,VTK000364|MLB7111713696,MLB7111713696,"[""MLB7111713696""]",55.43,35.49,"{""MLB7111713696"":200}",2026-09-05T01:02:19.064Z,"{""MLB7111713696"":35.49}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK012174,VTK012174|MLB39460659,MLB7111713750,"[""MLB4880526541"",""MLB7111713750""]",55.55,35.63,"{""MLB7111713750"":200,""MLB4880526541"":200}",2026-09-05T01:02:22.390Z,"{""MLB4880526541"":35.63,""MLB7111713750"":35.63}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]},{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK012104,VTK012104|MLB36351600,MLB7111716064,"[""MLB7111716064"",""MLB5079124601""]",34.07,21.98,"{""MLB7111716064"":200,""MLB5079124601"":200}",2026-09-05T01:02:25.741Z,"{""MLB7111716064"":21.98,""MLB5079124601"":21.98}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]},{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK012131,VTK012131|MLB7111713652,MLB7111713652,"[""MLB7111713652""]",53.29,34.37,"{""MLB7111713652"":200}",2026-09-05T01:02:26.527Z,"{""MLB7111713652"":34.37}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK000060,VTK000060|MLB20580728,MLB4857637125,"[""MLB4857637125"",""MLB7157760958""]",56.5,36.72,"{""MLB4857637125"":200,""MLB7157760958"":200}",2026-09-05T01:02:30.048Z,"{""MLB4857637125"":36.72,""MLB7157760958"":36.72}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]},{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK012433,VTK012433|MLB4857637065,MLB4857637065,"[""MLB4857637065""]",57.12,37.43,"{""MLB4857637065"":200}",2026-09-05T01:02:30.806Z,"{""MLB4857637065"":37.43}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK012012,VTK012012|MLB4857637259,MLB4857637259,"[""MLB4857637259""]",57.26,37.58,"{""MLB4857637259"":200}",2026-09-05T01:02:31.491Z,"{""MLB4857637259"":37.58}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK003622,VTK003622|MLB25948660,MLB4857624585,"[""MLB4857624585"",""MLB7149339142""]",57.39,37.74,"{""MLB4857624585"":200,""MLB7149339142"":200}",2026-09-05T01:02:34.874Z,"{""MLB4857624585"":37.74,""MLB7149339142"":37.74}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]},{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK002662,VTK002662|MLB7111713358,MLB7111713358,"[""MLB7111713358""]",57.81,38.48,"{""MLB7111713358"":200}",2026-09-05T01:02:35.644Z,"{""MLB7111713358"":38.48}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK002681,VTK002681|MLB7111713364,MLB7111713364,"[""MLB7111713364""]",57.81,38.48,"{""MLB7111713364"":200}",2026-09-05T01:02:36.362Z,"{""MLB7111713364"":38.48}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK002271,VTK002271|MLB22490340,MLB4857635411,"[""MLB4880591245"",""MLB4857635411""]",57.87,38.28,"{""MLB4857635411"":200,""MLB4880591245"":200}",2026-09-05T01:02:39.784Z,"{""MLB4880591245"":38.28,""MLB4857635411"":38.28}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]},{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK017397,VTK017397|MLB4981504717,MLB4981504717,"[""MLB4981504717""]",58.67,38.03,"{""MLB4981504717"":200}",2026-09-05T01:02:40.464Z,"{""MLB4981504717"":38.03}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK003213,VTK003213|MLB57351740,MLB4857637215,"[""MLB7149371848"",""MLB4857637215""]",53.9,35.79,"{""MLB4857637215"":200,""MLB7149371848"":200}",2026-09-05T01:02:43.964Z,"{""MLB7149371848"":35.79,""MLB4857637215"":35.79}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]},{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK017244,VTK017244|MLB4994943971,MLB4994943971,"[""MLB4994943971""]",55.46,35.77,"{""MLB4994943971"":200}",2026-09-05T01:02:44.692Z,"{""MLB4994943971"":35.77}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK001624,VTK001624|MLB21603461,MLB4857636931,"[""MLB7313979440"",""MLB4857636931""]",58.9,39.46,"{""MLB4857636931"":200,""MLB7313979440"":200}",2026-09-05T01:02:48.033Z,"{""MLB7313979440"":39.46,""MLB4857636931"":39.46}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]},{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK001652,VTK001652|MLB4857624501,MLB4857624501,"[""MLB4857624501""]",59.43,40.06,"{""MLB4857624501"":200}",2026-09-05T01:02:48.758Z,"{""MLB4857624501"":40.06}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK017853,VTK017853|MLB32476732,MLB4994952921,"[""MLB7381240378"",""MLB4994952921""]",61.19,40.24,"{""MLB4994952921"":200,""MLB7381240378"":200}",2026-09-05T01:02:52.022Z,"{""MLB7381240378"":40.24,""MLB4994952921"":40.24}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]},{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK012068,VTK012068|MLB20312085,MLB4857637203,"[""MLB4857637203"",""MLB5079124789""]",57.96,38.96,"{""MLB4857637203"":200,""MLB5079124789"":200}",2026-09-05T01:02:55.346Z,"{""MLB4857637203"":38.96,""MLB5079124789"":38.96}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]},{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK012106,VTK012106|MLB7111713032,MLB7111713032,"[""MLB7111713032""]",59.76,40.44,"{""MLB7111713032"":200}",2026-09-05T01:02:56.153Z,"{""MLB7111713032"":40.44}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK017708,VTK017708|MLB32224655,MLB4981311917,"[""MLB4981311917"",""MLB4986120857""]",56.64,37.99,"{""MLB4981311917"":200,""MLB4986120857"":200}",2026-09-05T01:02:59.672Z,"{""MLB4981311917"":37.99,""MLB4986120857"":37.99}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]},{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK022016,VTK022016|MLB38302545,MLB4981312713,"[""MLB4981312713"",""MLB7320340216""]",59.28,38.88,"{""MLB4981312713"":200,""MLB7320340216"":200}",2026-09-05T01:03:03.005Z,"{""MLB4981312713"":38.88,""MLB7320340216"":38.88}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]},{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK001675,VTK001675|MLB4857624429,MLB4857624429,"[""MLB4857624429""]",60.23,40.98,"{""MLB4857624429"":200}",2026-09-05T01:03:03.907Z,"{""MLB4857624429"":40.98}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK000175,VTK000175|MLB4857624323,MLB4857624323,"[""MLB4857624323""]",60.48,41.26,"{""MLB4857624323"":200}",2026-09-05T01:03:04.610Z,"{""MLB4857624323"":41.26}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK017185,VTK017185|MLB4981504493,MLB4981504493,"[""MLB4981504493""]",56.99,37.55,"{""MLB4981504493"":200}",2026-09-05T01:03:05.348Z,"{""MLB4981504493"":37.55}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK012478,VTK012478|MLB28360869,MLB4857623631,"[""MLB4880591999"",""MLB4857623631""]",61.23,42.13,"{""MLB4857623631"":200,""MLB4880591999"":200}",2026-09-05T01:03:08.787Z,"{""MLB4880591999"":42.13,""MLB4857623631"":42.13}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]},{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK001860,VTK001860|MLB4877412775,MLB4877412775,"[""MLB4877412775""]",61.33,42.24,"{""MLB4877412775"":200}",2026-09-05T01:03:09.541Z,"{""MLB4877412775"":42.24}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK017193,VTK017193|MLB4937565215,MLB4937565215,"[""MLB4937565215""]",59.82,40.35,"{""MLB4937565215"":200}",2026-09-05T01:03:10.258Z,"{""MLB4937565215"":40.35}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK002227,VTK002227|MLB4857623595,MLB4857623595,"[""MLB4857623595""]",61.56,42.5,"{""MLB4857623595"":200}",2026-09-05T01:03:11.007Z,"{""MLB4857623595"":42.5}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK012476,VTK012476|MLB57293772,MLB7111713078,"[""MLB4880561195"",""MLB7111713078""]",61.74,43.09,"{""MLB7111713078"":200,""MLB4880561195"":200}",2026-09-05T01:03:14.526Z,"{""MLB4880561195"":43.09,""MLB7111713078"":43.09}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]},{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK001841,VTK001841|MLB4857624377,MLB4857624377,"[""MLB4857624377""]",61.95,42.95,"{""MLB4857624377"":200}",2026-09-05T01:03:15.288Z,"{""MLB4857624377"":42.95}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK001623,VTK001623|MLB4857636589,MLB4857636589,"[""MLB4857636589""]",62.09,43.1,"{""MLB4857636589"":200}",2026-09-05T01:03:16.030Z,"{""MLB4857636589"":43.1}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK002509,VTK002509|MLB4857624333,MLB4857624333,"[""MLB4857624333""]",62.22,43.26,"{""MLB4857624333"":200}",2026-09-05T01:03:16.723Z,"{""MLB4857624333"":43.26}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK000054,VTK000054|MLB54675306,MLB5050065065,"[""MLB5050065065"",""MLB7437026210""]",60.58,40.85,"{""MLB5050065065"":200,""MLB7437026210"":200}",2026-09-05T01:03:20.254Z,"{""MLB5050065065"":40.85,""MLB7437026210"":40.85}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]},{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK017608,VTK017608|MLB4981461191,MLB4981461191,"[""MLB4981461191""]",62.58,42.59,"{""MLB4981461191"":200}",2026-09-05T01:03:21.008Z,"{""MLB4981461191"":42.59}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK002099,VTK002099|MLB4857624313,MLB4857624313,"[""MLB4857624313""]",62.96,44.11,"{""MLB4857624313"":200}",2026-09-05T01:03:22.515Z,"{""MLB4857624313"":44.11}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
VTK012532,VTK012532|MLB4857623587,MLB4857623587,"[""MLB4857623587""]",63.12,44.55,"{""MLB4857623587"":200}",2026-09-05T01:03:23.199Z,"{""MLB4857623587"":44.55}","[{""department"":""shipping"",""cause_id"":4053,""code"":""shipping.lost_me1_by_user"",""message"":""User has not mode me1"",""references"":[""user.shipping_preferences.modes""]}]"
