sku,gate,evidence,local_value,found_value,suggested_action
"VTK018079","SOURCE_DEFERRED","""NWT microfan voltage and category identity lack official evidence in the validated source set""","7898566200605","","IDENTITY_FIX_REQUIRED"
"VTK006274","BLOCK_CATALOG_IDENTITY","""catalog MODEL A06V6_S diverges from local/supplier MODEL TVA06V6S""","7898378703493","","CATALOG_REVIEW_REQUIRED"
"VTK002437","BLOCK_REQUIRED_ATTRIBUTE","""missing category-required attributes: MODEL""","7898946771152","","REQUIRED_ATTRIBUTE_REQUIRED"
"VTK006444","BLOCK_REQUIRED_ATTRIBUTE","""missing category-required attributes: POWER_SUPPLY_TYPE""","3016661158094","","REQUIRED_ATTRIBUTE_REQUIRED"
"VTK018077","BLOCK_CATEGORY","""category contract/domain is not a high-confidence match""","7899838803159","","CATEGORY_FIX_REQUIRED"
"VTK000518","BLOCK_IMAGE","""local product has zero images""","7890000796361","","IMAGE_FIX_REQUIRED"
"VTK000216","BLOCK_CATALOG_IDENTITY","""catalog MODEL 21K203 and title SC40 34W diverge from local CP40S Plus 40W identity""","7899810414007","","CATALOG_REVIEW_REQUIRED"
"VTK018106","SOURCE_DEFERRED","""Viaweb GPRS IP 2.3 lacks exact official/catalog identity in the validated source set""","7898936319241","","IDENTITY_FIX_REQUIRED"
"VTK017636","BLOCK_GTIN_UNIT_CONFLICT","""exact GTIN catalog is a five-unit kit while local commercial unit is one divider""","7898419487009","","GTIN_FIX_REQUIRED"
"VTK001057","BLOCK_IMAGE","""local product has zero images""","4711530964651","","IMAGE_FIX_REQUIRED"
"VTK001007","BLOCK_REQUIRED_ATTRIBUTE_EVIDENCE","""GTIN-14 carton of six blender jars lacks official packaging/category evidence""","10564050000108","","REQUIRED_ATTRIBUTE_REQUIRED"
"VTK018129","BLOCK_CATALOG_IDENTITY","""catalog MODEL is Intelbras instead of XAT 1018 MT""","7896637611749","","CATALOG_REVIEW_REQUIRED"
"VTK018134","BLOCK_CATEGORY","""Cabletech Master 40 RGC06 has no high-confidence category in the validated source set""","7898414700059","","CATEGORY_FIX_REQUIRED"
"VTK001063","BLOCK_IMAGE","""local product has zero images""","4711530961148","","IMAGE_FIX_REQUIRED"
"VTK012223","BLOCK_GTIN_UNIT_CONFLICT","""exact GTIN catalog is a ten-battery offer while local commercial unit is one battery""","7897013582554","","GTIN_FIX_REQUIRED"
"VTK001875","BLOCK_GTIN_UNIT_CONFLICT","""exact GTIN catalog is one string while local commercial unit is a dozen""","7898159187535","","GTIN_FIX_REQUIRED"
"VTK018199","BLOCK_CATEGORY","""Locktronic ultrasonic sensor category resolution is not high-confidence""","7898441353204","","CATEGORY_FIX_REQUIRED"
"VTK001282","SOURCE_DEFERRED","""Fortrek Ergo One screw-pack identity lacks official part evidence""","7890000856553","","IDENTITY_FIX_REQUIRED"
"VTK001109","BLOCK_IMAGE","""local product has zero images""","7890000785846","","IMAGE_FIX_REQUIRED"
"VTK001643","BLOCK_GTIN_UNIT_CONFLICT","""exact GTIN catalog represents one connector while local commercial unit is 100 connectors""","7898566200414","","GTIN_FIX_REQUIRED"
"VTK001039","BLOCK_IMAGE","""local product has zero images""","7890000796385","","IMAGE_FIX_REQUIRED"
"VTK018113","SOURCE_DEFERRED","""Aquário Viúva Negra 11 m lacks exact official/catalog identity in the validated source set""","7898127608291","","IDENTITY_FIX_REQUIRED"
"VTK018304","SOURCE_DEFERRED","""Permak Honda Civic application identity lacks primary documentation""","7898253495154","","IDENTITY_FIX_REQUIRED"
"VTK001834","BLOCK_REQUIRED_ATTRIBUTE_EVIDENCE","""Storm JCPQ0001 ten-unit kit lacks official required connector evidence""","7898566201978","","REQUIRED_ATTRIBUTE_REQUIRED"
"VTK001173","BLOCK_IMAGE","""local product has zero images""","4711530961162","","IMAGE_FIX_REQUIRED"
"VTK001165","BLOCK_IMAGE","""local product has zero images""","7890000785839","","IMAGE_FIX_REQUIRED"
"VTK002521","BLOCK_REQUIRED_ATTRIBUTE","""missing category-required attributes: BASS_GUITAR_TYPE""","7890443020955","","REQUIRED_ATTRIBUTE_REQUIRED"
"VTK026019","BLOCK_CATALOG_IDENTITY","""catalog MODEL SMD08 diverges from local/supplier SDM-08""","7898572866055","","CATALOG_REVIEW_REQUIRED"
"VTK018297","BLOCK_CATEGORY","""Telecam alarm cable catalog/domain category evidence is inconsistent""","7898917230725","","CATEGORY_FIX_REQUIRED"
"VTK021891","BLOCK_CATALOG_IDENTITY","""catalog MODEL states 0.5U while local commercial identity is 5U""","7908060206222","","CATALOG_REVIEW_REQUIRED"
"VTK001195","BLOCK_IMAGE","""local product has zero images""","7890000785518","","IMAGE_FIX_REQUIRED"
"VTK000949","BLOCK_GTIN_MODEL_CONFLICT","""exact GTIN catalog identifies Multivisão KIT-2Z microwave support, not local Decore shelf kit""","7896643439412","","GTIN_FIX_REQUIRED"
"VTK000301","BLOCK_CATALOG_IDENTITY","""catalog title identifies 30 cm while local product is 40 cm""","7898461970368","","CATALOG_REVIEW_REQUIRED"
"VTK019016","BLOCK_CATEGORY","""Cabletech RGE-58 100 m has no high-confidence category""","7898414700073","","CATEGORY_FIX_REQUIRED"
"VTK001187","BLOCK_IMAGE","""local product has zero images""","7890000785815","","IMAGE_FIX_REQUIRED"
"VTK001137","BLOCK_IMAGE","""local product has zero images""","4711530964675","","IMAGE_FIX_REQUIRED"
"VTK001897","SOURCE_DEFERRED","""Tiaflex 2x0.20 mm² 100 m lacks official identity/category evidence""","7898429981023","","IDENTITY_FIX_REQUIRED"
"VTK001119","BLOCK_IMAGE","""local product has zero images""","7890000785501","","IMAGE_FIX_REQUIRED"
"VTK018428","BLOCK_CATEGORY","""Cabletech STD-40 cable domain discovery is incompatible with the product function""","7898414700042","","CATEGORY_FIX_REQUIRED"
"VTK018449","BLOCK_CATEGORY","""Viaweb VW8Z alarm panel is mapped by the catalog to a business telephone system""","7898936319029","","CATEGORY_FIX_REQUIRED"
"VTK005411","SOURCE_DEFERRED","""Hayonik 7 m color/connector identity lacks exact official/catalog evidence""","7899638110112","","IDENTITY_FIX_REQUIRED"
"VTK013085","SOURCE_DEFERRED","""Attack VS83/VSC83A side/color application lacks official evidence""","7898640363240","","IDENTITY_FIX_REQUIRED"
"VTK004609","BLOCK_IMAGE","""local product has zero images and only an opaque local reference""","7890000792622","","IMAGE_FIX_REQUIRED"
"VTK018292","BLOCK_GTIN_UNIT_CONFLICT","""exact GTIN catalog represents a complete trio bundle, not the standalone Pioneer subwoofer""","4988028352720","","GTIN_FIX_REQUIRED"
"VTK001277","BLOCK_REMOTE_DUPLICATE","""exact remote seller SKU, GTIN, or catalog match already exists""","7898461969126","","REMOTE_LINK_REVIEW"
"VTK018550","SOURCE_DEFERRED","""Bee Link Fiat Argo/Cronos application identity lacks primary documentation""","7898441352696","","IDENTITY_FIX_REQUIRED"
"VTK018546","BLOCK_GTIN_BRAND_CONFLICT","""exact GTIN catalog brand is GNA, not local Viaweb""","7898936319234","","GTIN_FIX_REQUIRED"
"VTK004724","BLOCK_CATEGORY","""category contract/domain is not a high-confidence match""","7908417102245","","CATEGORY_FIX_REQUIRED"
"VTK018522","BLOCK_PROTECTIVE_PRICE_ENGINE","{""method"":""closed_form_then_single_validation"",""target_margin_percent"":55.00000000000001,""seed_quote"":{""price"":199.9,""fee"":{""currency_id"":""BRL"",""free_relist"":false,""listing_exposure"":""highest"",""listing_fee_amount"":0,""listing_fee_details"":{""fixed_fee"":0,""gross_amount"":0},""listing_type_id"":""gold_special"",""listing_type_name"":""Clássico"",""requires_picture"":true,""sale_fee_amount"":21.99,""sale_fee_details"":{""fixed_fee"":0,""gross_amount"":21.99,""percentage_fee"":11},""stop_time"":""2046-08-11T00:00:00.000-04:00""},""fee_components"":{""rate"":0.11,""fixed"":0,""source"":""sale_fee_details""},""shipping_data"":{""coverage"":{""all_country"":{""list_cost"":18.45,""currency_id"":""BRL"",""billable_weight"":145,""discount"":{""rate"":0.5,""type"":""mandatory"",""promoted_amount"":36.9}}}},""financial"":{""price"":199.9,""commission"":21.99,""shipping"":18.45,""cost"":40.2,""tax"":10,""profit"":109.26,""margin_percent"":54.657329}},""planned_price"":209.9,""validation"":{""price"":209.9,""fee"":{""currency_id"":""BRL"",""free_relist"":false,""listing_exposure"":""highest"",""listing_fee_amount"":0,""listing_fee_details"":{""fixed_fee"":0,""gross_amount"":0},""listing_type_id"":""gold_special"",""listing_type_name"":""Clássico"",""requires_picture"":true,""sale_fee_amount"":23.09,""sale_fee_details"":{""fixed_fee"":0,""gross_amount"":23.09,""percentage_fee"":11},""stop_time"":""2046-08-11T00:00:00.000-04:00""},""fee_components"":{""rate"":0.11,""fixed"":0,""source"":""sale_fee_details""},""shipping_data"":{""coverage"":{""all_country"":{""list_cost"":20.95,""currency_id"":""BRL"",""billable_weight"":145,""discount"":{""rate"":0.5,""type"":""mandatory"",""promoted_amount"":41.9}}}},""financial"":{""price"":209.9,""commission"":23.09,""shipping"":20.95,""cost"":40.2,""tax"":10.5,""profit"":115.16,""margin_percent"":54.864221}},""approved"":false}","7898112605946","","API_CONTRACT_REVIEW"
"VTK018517","BLOCK_CATALOG_IDENTITY","""catalog vehicle application states Corsa/Montana/Vectra and conflicts with local Corsa/Montana/Meriva""","7898253497974","","CATALOG_REVIEW_REQUIRED"
"VTK018480","BLOCK_CATEGORY","""Olimpus antenna mast category is not high-confidence""","7898382147320","","CATEGORY_FIX_REQUIRED"
"VTK018434","SOURCE_DEFERRED","""Permak 12-inch grille two-unit identity lacks official package evidence""","7898253491392","","IDENTITY_FIX_REQUIRED"
"VTK006457","BLOCK_CATALOG_IDENTITY","{""expected"":""MLB29477098"",""identity"":{""fields"":{""catalog_id"":true,""catalog_required"":true,""gtin"":true,""brand"":true,""model"":true,""title"":false},""critical"":{""VOLTAGE"":true},""passed"":false},""results"":[""MLB29477098"",""MLB22296304""]}","3016661152948","","CATALOG_REVIEW_REQUIRED"
"VTK018446","BLOCK_CATEGORY","""category contract/domain is not a high-confidence match""","7896586816486","","CATEGORY_FIX_REQUIRED"
"VTK001207","BLOCK_IMAGE","""local product has zero images""","7890000796262","","IMAGE_FIX_REQUIRED"
"VTK001258","BLOCK_IMAGE","""local product has zero images""","7890000797702","","IMAGE_FIX_REQUIRED"
"VTK018587","BLOCK_GTIN_MODEL_CONFLICT","""exact GTIN catalog model is 7500mAh, not local Thork 6310""","4895239063102","","GTIN_FIX_REQUIRED"
"VTK026037","BLOCK_GTIN_BRAND_CONFLICT","""exact GTIN catalog brand is Matrix Audio, not local Mark Audio""","7898640366234","","GTIN_FIX_REQUIRED"
