"anuncio";"sku";"produto";"fornecedor";"status";"preco_anterior";"preco_verificado";"margem_verificada";"alvo";"pendencia"
"MLB4773205281";"VTK009701";"Violoncelo Al 1210 3/4 Alan Com Capa Arco Breu";"VANRAL";"ALVO_VALIDADO";"1890";"2120.78";"0.1500014145738832";"0.15";""
"MLB4773181121";"VTK009698";"Guitarra Elétrica Ash Thomaz Teg 320 Natural";"VANRAL";"ALVO_VALIDADO";"1029";"1297.33";"0.1500003854069512";"0.15";""
"MLB4773179543";"VTK009691";"Estante Reta Cs 3 Para Pratos De Bateria New York";"VANRAL";"ALVO_VALIDADO";"406.84";"434.9";"0.1";"0.1";""
"MLB4773178955";"VTK009686";"Banco Para Bateria Dt 3 New York";"VANRAL";"ALVO_VALIDADO";"220.45";"238.4";"0.09999999999999999";"0.1";""
"MLB4773176491";"VTK009677";"Violino Al 1410 4/4 Alan Com Case Arco Breu Cavalete";"VANRAL";"ALVO_VALIDADO";"424.34";"453.36";"0.10000882301041115";"0.1";""
"MLB4773176129";"VTK009676";"Escaleta Melódica 37 Teclas Azul New York";"VANRAL";"ALVO_VALIDADO";"207.13";"222.57";"0.10001347890551288";"0.1";""
"MLB4773175741";"VTK009674";"Prato De Ataque Para Bateria 18"" New York";"VANRAL";"ALVO_VALIDADO";"138";"143.51";"0.07002996306877571";"0.07";""
"MLB4773141599";"VTK009681";"Microfone Sem Fio Tk V202 Vhf Onyx";"VANRAL";"ALVO_VALIDADO";"331.22";"356.87";"0.10000840642250679";"0.1";""
"MLB4773140039";"VTK009678";"Microfone Dinâmico Com Fio Tk 22c Onyx";"VANRAL";"ALVO_VALIDADO";"111";"112.38";"0.07003025449368215";"0.07";""
"MLB4773137499";"VTK009665";"Estante De Caixa Para Bateria Ss 1 New York";"VANRAL";"ALVO_VALIDADO";"167";"172.44";"0.07005335189051265";"0.07";""
"MLB4773133389";"VTK009703";"Estante Para Pratos Girafa Cs 5 Com Contra Peso New York";"VANRAL";"ALVO_VALIDADO";"451";"493.29";"0.10000202720509233";"0.1";""
"MLB4773133041";"VTK009700";"Viola Clássica De Arco Al 1310 4/4 Alan Com Case Arco Breu Cavalete";"VANRAL";"ALVO_VALIDADO";"639";"692.7";"0.09999999999999999";"0.1";""
"MLB4773132737";"VTK009699";"Violão Clássico De Nylon Para Destros Verniz Brilhante Com Tensor Tcg 200 Sunburst Cordoba";"VANRAL";"ALVO_VALIDADO";"365.37";"393.72";"0.10002031900843239";"0.1";""
"MLB4773130609";"VTK009690";"Estante Girafa Cs 1 Para Pratos De Bateria New York";"VANRAL";"ALVO_VALIDADO";"338.45";"362.62";"0.10002206166234627";"0.1";""
"MLB4773129795";"VTK009682";"Microfone Sem Fio Duplo Tk U220 Uhf Onyx";"VANRAL";"ALVO_VALIDADO";"699";"756.99";"0.10000132102141376";"0.1";""
"MLB4773129109";"VTK009680";"Microfone Dinâmico Com Fio Tk 58c Onyx";"VANRAL";"ALVO_VALIDADO";"178.02";"179.18";"0.07004129925214868";"0.07";""
"MLB4773128165";"VTK009679";"Microfone Dinâmico Com Fio Tk 51c Onyx";"VANRAL";"ALVO_VALIDADO";"178.55";"179.78";"0.07003003671153632";"0.07";""
"MLB4773125633";"VTK009666";"Pedal De Bumbo Bp 1 Cromado New York";"VANRAL";"ALVO_VALIDADO";"217.52";"234.46";"0.10001706047939947";"0.1";""
"MLB4772970809";"VTK009688";"Encordoamento Violão Aço 012 Phosphor Bronze 203l Thomaz";"VANRAL";"ALVO_VALIDADO";"52.09";"52.09";"0.07007103090804376";"0.07";""
"MLB6978727712";"VTK009679";"Microfone Dinâmico Com Fio Tk 51c Onyx";"VANRAL";"ALVO_VALIDADO";"178.55";"179.78";"0.07003003671153632";"0.07";""
"MLB4786791051";"VTK009680";"Microfone Dinâmico Com Fio Tk 58c Onyx";"VANRAL";"ALVO_VALIDADO";"178.02";"179.18";"0.07004129925214868";"0.07";""
"MLB4786790443";"VTK009703";"Estante Para Pratos Girafa Cs 5 Com Contra Peso New York";"VANRAL";"ALVO_VALIDADO";"451";"493.29";"0.10000202720509233";"0.1";""
"MLB4786790373";"VTK009665";"Estante De Caixa Para Bateria Ss 1 New York";"VANRAL";"ALVO_VALIDADO";"167";"172.44";"0.07005335189051265";"0.07";""
"MLB4786778315";"VTK009682";"Microfone Sem Fio Duplo Tk U220 Uhf Onyx";"VANRAL";"ALVO_VALIDADO";"699";"756.99";"0.10000132102141376";"0.1";""
"MLB4786777421";"VTK009678";"Microfone Dinâmico Com Fio Tk 22c Onyx";"VANRAL";"ALVO_VALIDADO";"111";"112.38";"0.07003025449368215";"0.07";""
"MLB4786777235";"VTK009677";"Violino Al 1410 4/4 Alan Com Case Arco Breu Cavalete";"VANRAL";"ALVO_VALIDADO";"424.34";"453.36";"0.10000882301041115";"0.1";""
"MLB4786777173";"VTK009686";"Banco Para Bateria Dt 3 New York";"VANRAL";"ALVO_VALIDADO";"220.45";"238.4";"0.09999999999999999";"0.1";""
"MLB4786766415";"VTK009690";"Estante Girafa Cs 1 Para Pratos De Bateria New York";"VANRAL";"ALVO_VALIDADO";"338.45";"362.62";"0.10002206166234627";"0.1";""
"MLB4786757691";"VTK009674";"Prato De Ataque Para Bateria 18"" New York";"VANRAL";"ALVO_VALIDADO";"138";"143.51";"0.07002996306877571";"0.07";""
"MLB6984996878";"VTK000065";"Par de Caixa Som Ambiente JBL C521P 40W Preta - PAR / 2";"EVOLUSOM-PR";"ALVO_VALIDADO";"990";"992.39";"0.10000100766835619";"0.1";""
"MLB6984929310";"VTK000065";"Par de Caixa Som Ambiente JBL C521P 40W Preta - PAR / 2";"EVOLUSOM-PR";"ALVO_VALIDADO";"990";"992.39";"0.10000100766835619";"0.1";""
"MLB4799211343";"VTK009666";"Pedal De Bumbo Bp 1 Cromado New York";"VANRAL";"ALVO_VALIDADO";"217.52";"234.46";"0.10001706047939947";"0.1";""
"MLB7010058418";"VTK000492";"Ventilador de Coluna Ventisol Turbo 6 40cm Bronze 220v";"BKR1";"ALVO_VALIDADO";"282";"302.58";"0.1000066098221958";"0.1";""
"MLB7009939716";"VTK000021";"Bateria Estacionária Selada 12V 12Ah VRLA UP12120 Unipower";"EVOLUSOM-PR";"ECONOMIA_INCONCLUSIVA";"279.27";"279.27";"";"0.1";"INCONCLUSIVO_FONTE_ML_INDISPONIVEL | FRETE_INDISPONIVEL"
"MLB7009932794";"VTK000475";"Ventilador de Parede Ventisol Monta Fácil 50cm Preto 220v";"EVOLUSOM-PR";"ALVO_VALIDADO";"330";"330";"0.10793939393939393";"0.1";""
"MLB7009927448";"VTK000132";"Bateria Estacionária Selada 12V 9Ah VRLA UP1290 Unipower";"EVOLUSOM-PR";"ECONOMIA_INCONCLUSIVA";"203.25";"203.25";"";"0.1";"INCONCLUSIVO_FONTE_ML_INDISPONIVEL | FRETE_INDISPONIVEL"
"MLB7009921386";"VTK000185";"Bateria Estacionária Selada 6V 12Ah VRLA UP6120 Unipower";"EVOLUSOM-PR";"ECONOMIA_INCONCLUSIVA";"229.81";"229.81";"";"0.1";"INCONCLUSIVO_FONTE_ML_INDISPONIVEL | FRETE_INDISPONIVEL"
"MLB7009920192";"VTK000153";"Ventilador de Parede Ventisol New Premium 60cm Preto 220v";"EVOLUSOM-PR";"ALVO_VALIDADO";"370";"373.95";"0.10001337077149351";"0.1";""
"MLB7009915854";"VTK000076";"Par de Caixa Som Ambiente JBL C521B 40W Branca - PAR / 2";"EVOLUSOM-PR";"ALVO_VALIDADO";"777";"866.85";"0.10000576801061313";"0.1";""
"MLB7009884118";"VTK000346";"Ventilador de Coluna Ventisol Turbo 6 40cm Preto 220v";"BKR1";"ALVO_VALIDADO";"280.87";"302.58";"0.1000066098221958";"0.1";""
"MLB7009878740";"VTK000174";"Par de Caixa Som Ambientare JBL C321P 30W Preta - PAR / 2";"EVOLUSOM-PR";"ALVO_VALIDADO";"990";"1122.55";"0.1500066812168723";"0.15";""
"MLB7009875704";"VTK000419";"Suporte Para Notebook Com Cooler NBC-50BK C3Tech";"EVOLUSOM-PR";"ALVO_VALIDADO";"100.45";"100.45";"0.14235938277750124";"0.07";""
"MLB7009323242";"VTK000041";"Encordoamento Violão Nylon Tensão Media Student EJ27N D Addario";"BKR1";"ALVO_VALIDADO";"122.31";"122.32";"0.07006213211249183";"0.07";""
"MLB7009318968";"VTK000244";"Antena Externa TV 4 em 1 VHF/UHF/FM/HDTV DTV-3000 Aquário";"EVOLUSOM-PR";"ECONOMIA_INCONCLUSIVA";"194.68";"194.68";"";"0.07";"INCONCLUSIVO_FONTE_ML_INDISPONIVEL | FRETE_INDISPONIVEL"
"MLB7009017476";"VTK009749";"Violão Acústico De Aço Para Destros Com Tensor Tcg 390 A Amarelo Thomaz";"VANRAL";"ALVO_VALIDADO";"578";"643.4";"0.1";"0.1";""
"MLB7009017380";"VTK009750";"Violão Eletroacústico Kids De Nylon Tcg 360 Eq Natural Thomaz";"VANRAL";"ALVO_VALIDADO";"606.88";"654.2";"0.09999999999999999";"0.1";""
"MLB7009017154";"VTK000145";"Mesa de Som Yamaha MG06X 6 Canais Bivolt Preta";"VANRAL";"ALVO_VALIDADO";"1590";"1806.25";"0.15000138408304498";"0.15";""
"MLB7009016324";"VTK009736";"Guitarra Elétrica Thomaz Teg 310 Natural";"VANRAL";"ALVO_VALIDADO";"697.15";"786.72";"0.10001016880211512";"0.1";""
"MLB7009015836";"VTK009721";"Bag Para Acordeon, Sanfona, Gaita 48 Baixos Thommasi";"VANRAL";"ALVO_VALIDADO";"420.64";"449.78";"0.10000444661834675";"0.1";""
"MLB7009013866";"VTK000247";"Monitor de Referência Para Estúdio Yamaha HS5 Branco";"VANRAL";"ALVO_VALIDADO";"2314";"2728.4";"0.15";"0.15";""
"MLB4801397717";"VTK000132";"Bateria Estacionária Selada 12V 9Ah VRLA UP1290 Unipower";"EVOLUSOM-PR";"ECONOMIA_INCONCLUSIVA";"203.25";"203.25";"";"0.1";"INCONCLUSIVO_FONTE_ML_INDISPONIVEL | FRETE_INDISPONIVEL"
"MLB4801364301";"VTK000185";"Bateria Estacionária Selada 6V 12Ah VRLA UP6120 Unipower";"EVOLUSOM-PR";"ECONOMIA_INCONCLUSIVA";"229.81";"229.81";"";"0.1";"INCONCLUSIVO_FONTE_ML_INDISPONIVEL | FRETE_INDISPONIVEL"
"MLB4801296963";"VTK000489";"Ventilador de Coluna Ventisol Turbo 6 30cm Preto 220v";"EVOLUSOM-PR";"ALVO_VALIDADO";"235";"258.9";"0.1";"0.1";""
"MLB4801295297";"VTK001026";"Antena Externa TV 2 em 1 UHF/HD Com Cabo FULL HD DTV1500 Aquário";"EVOLUSOM-PR";"ECONOMIA_INCONCLUSIVA";"140.96";"140.96";"";"0.07";"INCONCLUSIVO_FONTE_ML_INDISPONIVEL | FRETE_INDISPONIVEL"
"MLB4801155957";"VTK000484";"Kit Teclado e Mouse C3Tech K-W20BK Sem Fio Preto";"EVOLUSOM-PR";"ALVO_VALIDADO";"99";"103.5";"0.07004830917874397";"0.07";""
"MLB4801143851";"VTK000041";"Encordoamento Violão Nylon Tensão Media Student EJ27N D Addario";"BKR1";"ALVO_VALIDADO";"122.31";"122.32";"0.07006213211249183";"0.07";""
"MLB4801121037";"VTK003936";"Liquidificador Agratto LQLF-01 Leitoso 850W Cristal 127v";"EVOLUSOM-PR";"ALVO_VALIDADO";"201.02";"201.02";"0.20027857924584616";"0.1";""
"MLB4801083479";"VTK000232";"Leitor de Código de Barras C3Tech LB-50BK USB";"EVOLUSOM-PR";"ALVO_VALIDADO";"176.22";"176.22";"0.09255476109408693";"0.07";""
"MLB4801081999";"VTK003936";"Liquidificador Agratto LQLF-01 Leitoso 850W Cristal 127v";"EVOLUSOM-PR";"ALVO_VALIDADO";"201.02";"201.02";"0.20027857924584616";"0.1";""
"MLB4800984045";"VTK009723";"Estante Para Hit Hat Hs 3 New York";"VANRAL";"ALVO_VALIDADO";"617";"658.67";"0.1000045546328207";"0.1";""
"MLB4800983975";"VTK009727";"Estante Para Bongô Bgs 21c New York";"VANRAL";"ALVO_VALIDADO";"459";"520.76";"0.10000768108149627";"0.1";""
"MLB4800983891";"VTK009755";"Banco De Piano Com Regulagem Ba 5 Preto Alan";"VANRAL";"ALVO_VALIDADO";"738";"813.63";"0.10000860341924463";"0.1";""
"MLB4800982403";"VTK009739";"Violão Clássico De Nylon Para Destros Verniz Brilhante Com Tensor Tcg 200 Preto Cordoba";"VANRAL";"ALVO_VALIDADO";"362.43";"420.95";"0.10001187789523697";"0.1";""
"MLB4800982013";"VTK009753";"Violão Clássico De Nylon Para Destros Verniz Brilhante Com Tensor Tcg 200 Natural Light Cordoba";"VANRAL";"ALVO_VALIDADO";"359.85";"420.95";"0.10001187789523697";"0.1";""
"MLB4800981401";"VTK009767";"Guitarra Elétrica Vintage Thomaz Teg 400v Preto";"VANRAL";"ALVO_VALIDADO";"656.22";"757.54";"0.10000792037384165";"0.1";""
"MLB4800980893";"VTK009830";"Violão Eletroacústico Apxt2 Drb Dark Red Burst Com Bag Yamaha";"VANRAL";"ALVO_VALIDADO";"2681.98";"2681.99";"0.15000055928620168";"0.15";""
"MLB4800980675";"VTK009752";"Violão Acústico De Aço Para Destros Com Tensor Tcg 390 A Natural Thomaz";"VANRAL";"ALVO_VALIDADO";"576.3";"618.86";"0.10000646349739845";"0.1";""
"MLB4800980603";"VTK009746";"Pedal De Bumbo Bp 3 Cromado New York";"VANRAL";"ALVO_VALIDADO";"314.49";"336.68";"0.10000594035879767";"0.1";""
"MLB4800962603";"VTK009744";"Bag Para Acordeon, Sanfona, Gaita 80 Baixos Thommasi";"VANRAL";"ALVO_VALIDADO";"450";"493.16";"0.10000811095790413";"0.1";""
"MLB4800962493";"VTK009721";"Bag Para Acordeon, Sanfona, Gaita 48 Baixos Thommasi";"VANRAL";"ALVO_VALIDADO";"420.64";"449.78";"0.10000444661834675";"0.1";""
"MLB4800960719";"VTK009769";"Violão Acústico De Aço Para Destros Com Tensor Tcg 390 A Azul Thomaz";"VANRAL";"ALVO_VALIDADO";"601.58";"643.4";"0.1";"0.1";""
"MLB4800960157";"VTK009766";"Guitarra Elétrica Thomaz Teg 310 Sunburst";"VANRAL";"ALVO_VALIDADO";"870";"870";"0.1624367816091954";"0.1";""
"MLB4800958419";"VTK009744";"Bag Para Acordeon, Sanfona, Gaita 80 Baixos Thommasi";"VANRAL";"ALVO_VALIDADO";"450";"493.16";"0.10000811095790413";"0.1";""
"MLB4800958323";"VTK009738";"Violão Acústico Infantil De Nylon Para Destros Com Tensor Tcg 360 Vermelho Thomaz";"VANRAL";"ALVO_VALIDADO";"535.58";"579.04";"0.10001036197844708";"0.1";""
"MLB4800958095";"VTK009737";"Guitarra Elétrica Vintage Thomaz Teg 400v Branco";"VANRAL";"ALVO_VALIDADO";"707";"757.54";"0.10000792037384165";"0.1";""
"MLB4800957353";"VTK009722";"Bag Para Acordeon, Sanfona, Gaita 120 Baixos Thommasi";"VANRAL";"ALVO_VALIDADO";"524.73";"562.39";"0.10000177812550011";"0.1";""
"MLB4800957239";"VTK009712";"Violão Eletroacústico Kids De Nylon Tcg 360 Eq Vermelho Thomaz";"VANRAL";"ALVO_VALIDADO";"606.88";"654.2";"0.09999999999999999";"0.1";""
"MLB4800956385";"VTK009710";"Guitarra Elétrica Ash Thomaz Teg 320 Preto";"VANRAL";"ALVO_VALIDADO";"1077";"1241.18";"0.15000241705473824";"0.15";""
"MLB4800949819";"VTK009774";"Estante Para Hit Hat Hs 1 New York";"VANRAL";"ALVO_VALIDADO";"335.96";"359.99";"0.10000277785494041";"0.1";""
"MLB4800949709";"VTK009726";"Estante De Caixa Para Bateria Ss 3 New York";"VANRAL";"ALVO_VALIDADO";"319";"352.84";"0.10001700487473077";"0.1";""
"MLB4800949565";"VTK009746";"Pedal De Bumbo Bp 3 Cromado New York";"VANRAL";"ALVO_VALIDADO";"314.49";"336.68";"0.10000594035879767";"0.1";""
"MLB4800949527";"VTK000247";"Monitor de Referência Para Estúdio Yamaha HS5 Branco";"VANRAL";"ALVO_VALIDADO";"2314";"2728.4";"0.15";"0.15";""
"MLB4800948213";"VTK009713";"Violão Eletroacústico Kids De Aço Tcg 360 A Eq Preto Thomaz";"VANRAL";"ALVO_VALIDADO";"613.83";"661.53";"0.10001058153069399";"0.1";""
"MLB4800947471";"VTK001038";"Pedal Triplo LP1B Yamaha Preto";"VANRAL";"ALVO_VALIDADO";"938.21";"947.56";"0.1000042213685677";"0.1";""
"MLB4800947203";"VTK009765";"Guitarra Elétrica Thomaz Teg 310 Preto";"VANRAL";"ALVO_VALIDADO";"768";"786.72";"0.10001016880211512";"0.1";""
"MLB4800945791";"VTK009726";"Estante De Caixa Para Bateria Ss 3 New York";"VANRAL";"ALVO_VALIDADO";"319";"352.84";"0.10001700487473077";"0.1";""
"MLB4800945023";"VTK009735";"Guitarra Elétrica Ash Thomaz Teg 320 Vermelho";"VANRAL";"ALVO_VALIDADO";"1077";"1241.18";"0.15000241705473824";"0.15";""
"MLB4800944801";"VTK009734";"Bateria Acústica Infantil Junior 2t Vermelha Com Banco New York";"VANRAL";"ALVO_VALIDADO";"1690";"1947.56";"0.15000308077799915";"0.15";""
"MLB4800943761";"VTK009711";"Guitarra Elétrica Vintage Thomaz Teg 400v Sunburst";"VANRAL";"ALVO_VALIDADO";"699";"757.54";"0.10000792037384165";"0.1";""
"MLB4800942397";"VTK009774";"Estante Para Hit Hat Hs 1 New York";"VANRAL";"ALVO_VALIDADO";"335.96";"359.99";"0.10000277785494041";"0.1";""
"MLB4800936039";"VTK009768";"Violão Acústico De Nylon Para Destros Com Tensor Tcg 390 Natural Thomaz";"VANRAL";"ALVO_VALIDADO";"601.58";"648.62";"0.10001233387807962";"0.1";""
"MLB4800935847";"VTK009755";"Banco De Piano Com Regulagem Ba 5 Preto Alan";"VANRAL";"ALVO_VALIDADO";"738";"813.63";"0.10000860341924463";"0.1";""
"MLB4800933727";"VTK009727";"Estante Para Bongô Bgs 21c New York";"VANRAL";"ALVO_VALIDADO";"459";"520.76";"0.10000768108149627";"0.1";""
"MLB4800933665";"VTK009723";"Estante Para Hit Hat Hs 3 New York";"VANRAL";"ALVO_VALIDADO";"617";"658.67";"0.1000045546328207";"0.1";""
"MLB4800933249";"VTK001790";"Cubo Para Guitarra Yamaha GA15II 15W RMS Preto";"VANRAL";"ALVO_VALIDADO";"1450";"1673.18";"0.1500017929929834";"0.15";""
"MLB4800932331";"VTK009714";"Viola Clássica De Arco Al 1310 3/4 Alan Com Case Arco Breu Cavalete";"VANRAL";"ALVO_VALIDADO";"637";"699.85";"0.10000714438808316";"0.1";""
"MLB4800932163";"VTK009704";"Pedal De Bumbo Duplo Bp 5 New York";"VANRAL";"ALVO_VALIDADO";"920.93";"941.9";"0.1";"0.1";""
"MLB7012935280";"VTK009704";"Pedal De Bumbo Duplo Bp 5 New York";"VANRAL";"ALVO_VALIDADO";"920.93";"941.9";"0.1";"0.1";""
"MLB7012935140";"VTK009768";"Violão Acústico De Nylon Para Destros Com Tensor Tcg 390 Natural Thomaz";"VANRAL";"ALVO_VALIDADO";"601.58";"648.62";"0.10001233387807962";"0.1";""
"MLB7012934562";"VTK009750";"Violão Eletroacústico Kids De Nylon Tcg 360 Eq Natural Thomaz";"VANRAL";"ALVO_VALIDADO";"606.88";"654.2";"0.09999999999999999";"0.1";""
"MLB7012823734";"VTK001790";"Cubo Para Guitarra Yamaha GA15II 15W RMS Preto";"VANRAL";"ALVO_VALIDADO";"1450";"1673.18";"0.1500017929929834";"0.15";""
"MLB7012823524";"VTK009735";"Guitarra Elétrica Ash Thomaz Teg 320 Vermelho";"VANRAL";"ALVO_VALIDADO";"1077";"1241.18";"0.15000241705473824";"0.15";""
"MLB7012811320";"VTK009738";"Violão Acústico Infantil De Nylon Para Destros Com Tensor Tcg 360 Vermelho Thomaz";"VANRAL";"ALVO_VALIDADO";"535.58";"579.04";"0.10001036197844708";"0.1";""
"MLB4804206631";"VTK000076";"Par de Caixa Som Ambiente JBL C521B 40W Branca - PAR / 2";"EVOLUSOM-PR";"ALVO_VALIDADO";"777";"866.85";"0.10000576801061313";"0.1";""
"MLB4804196255";"VTK000174";"Par de Caixa Som Ambientare JBL C321P 30W Preta - PAR / 2";"EVOLUSOM-PR";"ALVO_VALIDADO";"990";"1122.55";"0.1500066812168723";"0.15";""
"MLB4803805769";"VTK000145";"Mesa de Som Yamaha MG06X 6 Canais Bivolt Preta";"VANRAL";"ALVO_VALIDADO";"1590";"1806.25";"0.15000138408304498";"0.15";""
"MLB7023171888";"VTK006351";"Smart Box TV 4k Proeletronic Stickpro PROSK-1000 Preto";"EVOLUSOM-PR";"ALVO_VALIDADO";"296.97";"321.9";"0.1";"0.1";""
"MLB7023161014";"VTK009765";"Guitarra Elétrica Thomaz Teg 310 Preto";"VANRAL";"ALVO_VALIDADO";"768";"786.72";"0.10001016880211512";"0.1";""
"MLB4804992227";"VTK009737";"Guitarra Elétrica Vintage Thomaz Teg 400v Branco";"VANRAL";"ALVO_VALIDADO";"707";"757.54";"0.10000792037384165";"0.1";""
"MLB4804992207";"VTK009769";"Violão Acústico De Aço Para Destros Com Tensor Tcg 390 A Azul Thomaz";"VANRAL";"ALVO_VALIDADO";"601.58";"643.4";"0.1";"0.1";""
"MLB4804981979";"VTK009712";"Violão Eletroacústico Kids De Nylon Tcg 360 Eq Vermelho Thomaz";"VANRAL";"ALVO_VALIDADO";"606.88";"654.2";"0.09999999999999999";"0.1";""
"MLB4804981757";"VTK000419";"Suporte Para Notebook Com Cooler NBC-50BK C3Tech";"EVOLUSOM-PR";"ALVO_VALIDADO";"100.45";"100.45";"0.14235938277750124";"0.07";""
"MLB4804969009";"VTK009713";"Violão Eletroacústico Kids De Aço Tcg 360 A Eq Preto Thomaz";"VANRAL";"ALVO_VALIDADO";"613.83";"661.53";"0.10001058153069399";"0.1";""
"MLB4811202227";"VTK000475";"Ventilador de Parede Ventisol Monta Fácil 50cm Preto 220v";"EVOLUSOM-PR";"ALVO_VALIDADO";"330";"330";"0.10793939393939393";"0.1";""
"MLB7046574872";"VTK009691";"Estante Reta Cs 3 Para Pratos De Bateria New York";"VANRAL";"ALVO_VALIDADO";"406.84";"434.9";"0.1";"0.1";""
"MLB7046574830";"VTK009711";"Guitarra Elétrica Vintage Thomaz Teg 400v Sunburst";"VANRAL";"ALVO_VALIDADO";"699";"757.54";"0.10000792037384165";"0.1";""
"MLB7044868942";"VTK009767";"Guitarra Elétrica Vintage Thomaz Teg 400v Preto";"VANRAL";"ALVO_VALIDADO";"656.22";"757.54";"0.10000792037384165";"0.1";""
"MLB7044005990";"VTK009736";"Guitarra Elétrica Thomaz Teg 310 Natural";"VANRAL";"ALVO_VALIDADO";"697.15";"786.72";"0.10001016880211512";"0.1";""
"MLB4820387925";"VTK000153";"Ventilador de Parede Ventisol New Premium 60cm Preto 220v";"EVOLUSOM-PR";"ALVO_VALIDADO";"370";"373.95";"0.10001337077149351";"0.1";""
"MLB4818724919";"VTK009701";"Violoncelo Al 1210 3/4 Alan Com Capa Arco Breu";"VANRAL";"ALVO_VALIDADO";"1890";"2120.78";"0.1500014145738832";"0.15";""
"MLB4818724579";"VTK009698";"Guitarra Elétrica Ash Thomaz Teg 320 Natural";"VANRAL";"ALVO_VALIDADO";"1029";"1297.33";"0.1500003854069512";"0.15";""
"MLB4818724561";"VTK009752";"Violão Acústico De Aço Para Destros Com Tensor Tcg 390 A Natural Thomaz";"VANRAL";"ALVO_VALIDADO";"576.3";"618.86";"0.10000646349739845";"0.1";""
"MLB7079117896";"VTK000083";"Encordoamento Para Contrabaixo .045 5 Cordas Nickel SG";"BKR1";"ALVO_VALIDADO";"179.85";"179.85";"0.07834306366416459";"0.07";""
"MLB7076594134";"VTK000169";"Encordoamento Para Violão .011 Custom Light Phosphor Nanoweb Elixir";"BKR1";"ALVO_VALIDADO";"295.14";"311.87";"0.10000961939269568";"0.1";""
"MLB7076566174";"VTK000103";"Encordoamento Violão Nylon Tensão Media Pro-Arte Nylon Core EJ45 D Addario";"BKR1";"ALVO_VALIDADO";"171";"187.02";"0.07004598438669661";"0.07";""
"MLB7076440644";"VTK000029";"Encordoamento Para Guitarra .009 Super Light Nanoweb 12002 Elixir";"BKR1";"ALVO_VALIDADO";"214.3";"226.89";"0.10000440742209883";"0.1";""
"MLB4836158379";"VTK000157";"Ventilador de Mesa Ventisol Turbo 6 30cm Preto/Cinza 220v";"BKR1";"ALVO_VALIDADO";"187.64";"224.62";"0.10003561570652657";"0.1";""
"MLB4836091795";"VTK000083";"Encordoamento Para Contrabaixo .045 5 Cordas Nickel SG";"BKR1";"ALVO_VALIDADO";"179.85";"179.85";"0.07834306366416459";"0.07";""
