ml_item_id,sku,produto_id,status,titulo,categoria,tipo_atual,prazo_atual,origem_comprovada,prazo_proposto,unidade,fonte,evidencia_em,pendencia,acao,doze_meses_sem_evidencia,observado_em
MLB7023171888,VTK006351,75b0bd7e-9277-4d78-a381-da40cb21ddc6,active,Tv Stickpro 4k Proeletronic Controle Por Voz Android Tv Preto De Voz,MLB133950,Garantia de fábrica,12 meses,GARANTIA_FORNECEDOR,1,anos,produto_fornecedor_ofertas:1c1fdd88-7a1d-4c36-bc07-2638e90a7756:descricao,2026-09-05T23:56:33.118+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:11:15.032Z
MLB4811202227,VTK000475,c0aca4b3-e5d6-43b3-8e99-780ca2af64bf,active,Ventilador Oscilante De Parede 50cm 6 Pás Ventisol Monta Fácil 135w Preto 50 Cm 220v Plástico,MLB1645,Garantia de fábrica,12 meses,GARANTIA_FORNECEDOR,12,meses,produto_fornecedor_ofertas:43c0a42b-fcb4-46b1-a2ef-8c338630d03a:descricao,2026-09-05T23:49:23.933+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:11:15.362Z
MLB4820387925,VTK000153,8087bbbd-151f-4836-bf56-4905ef1f645a,active,Ventilador Osc Parede 60cm Preto Ventisol 60 Cm 220v Plástico 3,MLB1645,Garantia de fábrica,12 meses,GARANTIA_FORNECEDOR,12,meses,produto_fornecedor_ofertas:f66f58e9-0207-4e3c-b988-30741172a542:descricao,2026-09-05T23:23:22.863+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:11:15.772Z
MLB7086975852,VTK000278,d69ec67a-25d3-4ffe-82a2-2a9dbd2d8e81,active,Pistola Cola Quente Hikari Hpc-150 150w Profissional,MLB277318,Garantia de fábrica,12 meses,GARANTIA_FORNECEDOR,6,meses,produto_fornecedor_ofertas:69dcaadc-c89e-481a-927e-0669afbd5ab8:descricao,2026-09-06T00:11:19.936+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:11:18.891Z
MLB4842179537,VTK000678,c7d5f5a9-2038-4633-bb2a-fd4eef7f46d6,active,Ventilador De Teto Ventisol Mistral 3 Pás Preto Bivolt Preto Bivolt Plástico 3,MLB1645,Garantia de fábrica,12 meses,GARANTIA_FORNECEDOR,12,meses,produto_fornecedor_ofertas:d04710de-0af6-409f-9b24-2b08c6a879d1:descricao,2026-09-05T23:59:15.165+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:11:19.379Z
MLB4842011317,VTK000550,69fcdc82-8333-4126-863b-d18643dd5919,active,Kit Teclado Mouse C3tech K-w10bk Sem Fio Abnt2 Preto,MLB5914,Garantia de fábrica,12 meses,GARANTIA_FORNECEDOR,12,meses,produto_fornecedor_ofertas:96a6c573-fa4d-432b-a46c-f9271d7de400:descricao,2026-09-05T23:26:31.54+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:11:19.731Z
MLB4842007827,VTK000591,df6526dd-a6f9-4968-9fd3-243f9fa5278f,active,Ventilador Parede Ventisol New 50cm 130w Preto 127v 50 Cm Preto 127v Plástico,MLB1645,Garantia de fábrica,12 meses,GARANTIA_FORNECEDOR,12,meses,produto_fornecedor_ofertas:5a8c0e05-36ce-4df9-8ce0-031267cd23de:descricao,2026-09-05T23:42:16.18+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:11:19.956Z
MLB4852431659,VTK000278,d69ec67a-25d3-4ffe-82a2-2a9dbd2d8e81,active,Pistola De Cola Hikari Hpc-150 150w Bivolt Com Suporte E Bico Protetor 127/220v,MLB277318,Garantia de fábrica,12 meses,GARANTIA_FORNECEDOR,6,meses,produto_fornecedor_ofertas:69dcaadc-c89e-481a-927e-0669afbd5ab8:descricao,2026-09-06T00:11:19.936+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:11:21.629Z
MLB7111656732,VTK012665,72468bfc-1702-4765-976c-5046c8b98565,active,"Liquidificador Agratto Turbo 15 3,2l 1200w 127v 127v",MLB73055,Garantia de fábrica,3 meses,GARANTIA_FORNECEDOR,12,meses,produto_fornecedor_ofertas:57c35780-dac3-410f-9a61-3f474a31afa5:descricao,2026-09-05T23:52:15.31+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:11:24.686Z
MLB7111656054,VTK012796,e682402b-1a5e-40b0-8a30-667e7bb7d3a8,active,Calculadora Compacta Com Bobina 12 Digitos Ma-5111 Elgin,MLB99957,Garantia de fábrica,3 meses,GARANTIA_FORNECEDOR,6,meses,produto_fornecedor_ofertas:98d7b80d-1246-49f1-992e-a22799f12c55:descricao,2026-09-06T03:10:18.969+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:11:25.895Z
MLB7111655810,VTK012385,bb1acec9-590d-4a56-b542-24fed67ed557,active,Caixa Multiuso Amplificada 6 Polegadas 15 W Rms - Voxstorm,MLB11507,Garantia de fábrica,,GARANTIA_FORNECEDOR,3,meses,produto_fornecedor_ofertas:64785cbe-3c7e-4df0-87dd-59211e86acb1:descricao,2026-09-06T03:01:21.52+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:11:27.014Z
MLB7111644566,VTK012626,bcfd5b86-abf4-409f-8795-97cbda6d85a9,active,Escova Secadora Della Preta Bivolt 1100w Agratto,MLB264715,Garantia de fábrica,3 meses,GARANTIA_FORNECEDOR,12,meses,produto_fornecedor_ofertas:6beead14-3d57-4ace-83be-d6b620fffc45:descricao,2026-09-05T23:34:29.139+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:11:30.475Z
MLB7111644336,VTK012625,654096bf-8108-4404-9931-ebb79ccdee3e,active,Escova Rotativa Della Bivolt 1200w Agratto,MLB264715,Garantia de fábrica,3 meses,GARANTIA_FORNECEDOR,12,meses,produto_fornecedor_ofertas:7878d56e-78eb-4a26-99a1-371526e0482c:descricao,2026-09-05T23:34:29.139+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:11:30.887Z
MLB7111644302,VTK012673,23ab1fe5-aa89-463f-80cc-32d8ffd26707,active,Encordoamento Giannini P/contra Baixo Leve 0.040 Geebrl/5,MLB278076,Garantia de fábrica,3 meses,GARANTIA_FORNECEDOR,12,meses,produto_fornecedor_ofertas:16f937df-1e1c-4c21-a4e6-fa3d27e45970:descricao,2026-09-06T00:19:20.12+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:11:31.437Z
MLB7111643660,VTK001348,820d71a3-a317-4c24-9b70-383e6c1bc0f8,active,Ventilador Parede Ventisol New 50cm 220v Preto 50 Cm Preto 220v Plástico,MLB1645,Garantia de fábrica,3 meses,GARANTIA_FORNECEDOR,12,meses,produto_fornecedor_ofertas:4f8c085d-1033-4002-9ad1-31ffc4a8bbec:descricao,2026-09-05T23:29:29.06+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:11:31.604Z
MLB4857541977,VTK012545,2a2a3c75-86aa-4cac-8a50-e660e3e7cff8,active,Carregador Rayovac Sm-4 Usb Aa Aaa Com 2 Pilhas Aa,MLB11290,Garantia de fábrica,3 meses,GARANTIA_FORNECEDOR,365,dias,produto_fornecedor_ofertas:e33cd8a7-56fc-4ca5-ab38-901711487456:descricao,2026-09-05T23:32:21.245+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:11:38.181Z
MLB4857541521,VTK012666,b15967b6-f5cc-49c9-bc15-a90134680bec,active,Secador Dobrável Profissional 127v 1800w Agratto 127v,MLB5412,Garantia de fábrica,3 meses,GARANTIA_FORNECEDOR,12,meses,produto_fornecedor_ofertas:217005a0-3d2a-4dc4-baa8-eed8f0ce94ad:descricao,2026-09-05T23:34:29.139+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:11:39.476Z
MLB4857540467,VTK012692,d8b51989-20cd-497d-bd43-a795e1bde8de,active,Calculadora Com Bobina 12 Ditigos Bicolor Ma-5121 Elgin,MLB99957,Garantia de fábrica,3 meses,GARANTIA_FORNECEDOR,6,meses,produto_fornecedor_ofertas:69bdadd3-2d62-4695-a437-d5e599521875:descricao,2026-09-06T03:10:18.969+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:11:40.922Z
MLB4857539675,VTK012364,86c5022a-c373-4b44-be6a-608239ef4c13,active,Calculadora Com Bobina 14 Digitos Mb-7142 Elgin,MLB99957,Garantia de fábrica,3 meses,GARANTIA_FORNECEDOR,6,meses,produto_fornecedor_ofertas:7b4df0b6-1e76-4c90-88d9-7310c0bf8e9c:descricao,2026-09-06T02:58:20.152+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:11:41.500Z
MLB4857530911,VTK005803,12586428-233c-4b8d-a6f4-f67687d53d66,active,Mangueira Expansível Kepper Km215ca 13m Azul 7 Jatos Azul,MLB189923,Garantia de fábrica,12 meses,GARANTIA_FORNECEDOR,3,meses,produto_fornecedor_ofertas:12bf1b60-5e7a-4db2-b5b6-03d6b1d28bf8:descricao,2026-09-05T23:42:16.18+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:11:42.305Z
MLB4857498447,VTK000751,85a84be9-b86c-4933-8cc5-dea77c4cdf93,active,Mangueira Expansível Kepper Km222ca Látex 18m Azul Azul,MLB189923,Garantia de fábrica,12 meses,GARANTIA_FORNECEDOR,3,meses,produto_fornecedor_ofertas:05df0b72-4f62-471e-95a9-5c38d68a238b:descricao,2026-09-05T23:44:32.769+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:11:42.711Z
MLB7149405526,VTK012692,d8b51989-20cd-497d-bd43-a795e1bde8de,active,Calculadora De Mesa Elgin Ma-5121 Impressora Bobina 12 Dígitos Lcd Branco,MLB99957,Garantia de fábrica,3 meses,GARANTIA_FORNECEDOR,6,meses,produto_fornecedor_ofertas:69bdadd3-2d62-4695-a437-d5e599521875:descricao,2026-09-06T03:10:18.969+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:11:45.212Z
MLB7149331936,VTK012385,bb1acec9-590d-4a56-b542-24fed67ed557,active,Caixa Multiuso Amplificada 6 15 W Rms Voxstorm Vsu100 Usb,MLB11507,Garantia de fábrica,3 meses,GARANTIA_FORNECEDOR,3,meses,produto_fornecedor_ofertas:64785cbe-3c7e-4df0-87dd-59211e86acb1:descricao,2026-09-06T03:01:21.52+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:11:47.396Z
MLB4880632729,VTK012666,b15967b6-f5cc-49c9-bc15-a90134680bec,active,Secador De Cabelos Dobrável Portátil Viagem 1800w Ar Quente Della Agratto Seac01i-01 Preto 127v,MLB5412,Garantia de fábrica,3 meses,GARANTIA_FORNECEDOR,12,meses,produto_fornecedor_ofertas:217005a0-3d2a-4dc4-baa8-eed8f0ce94ad:descricao,2026-09-05T23:34:29.139+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:11:48.527Z
MLB4880587199,VTK012673,23ab1fe5-aa89-463f-80cc-32d8ffd26707,active,Encordoamento Baixo 5 Cordas Giannini Nickel 040-125,MLB278076,Garantia de fábrica,3 meses,GARANTIA_FORNECEDOR,12,meses,produto_fornecedor_ofertas:16f937df-1e1c-4c21-a4e6-fa3d27e45970:descricao,2026-09-06T00:19:20.12+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:11:49.027Z
MLB4880587163,VTK012625,654096bf-8108-4404-9931-ebb79ccdee3e,active,Escova Rotativa Agratto Della Ecr-03 1200w Bivolt Seca Alisa Modela Preta 127/220v,MLB264715,Garantia de fábrica,3 meses,GARANTIA_FORNECEDOR,12,meses,produto_fornecedor_ofertas:7878d56e-78eb-4a26-99a1-371526e0482c:descricao,2026-09-05T23:34:29.139+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:11:49.186Z
MLB4880583319,VTK012665,72468bfc-1702-4765-976c-5046c8b98565,active,"Liquidificador Elétrico Turbo Agratto 15 Velocidades 3,2 Litros Vermelho 127v",MLB73055,Garantia de fábrica,3 meses,GARANTIA_FORNECEDOR,12,meses,produto_fornecedor_ofertas:57c35780-dac3-410f-9a61-3f474a31afa5:descricao,2026-09-05T23:52:15.31+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:11:49.520Z
MLB4880565805,VTK012796,e682402b-1a5e-40b0-8a30-667e7bb7d3a8,active,Calculadora Elgin Compacta Com Bobina 12 Dígitos Ma-5111 Cor Preto,MLB99957,Garantia de fábrica,3 meses,GARANTIA_FORNECEDOR,6,meses,produto_fornecedor_ofertas:98d7b80d-1246-49f1-992e-a22799f12c55:descricao,2026-09-06T03:10:18.969+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:11:50.184Z
MLB4880559183,VTK000550,69fcdc82-8333-4126-863b-d18643dd5919,active,Kit Teclado E Mouse C3tech K-w10bk Sem Fio Preto Para Pc,MLB5914,Garantia de fábrica,12 meses,GARANTIA_FORNECEDOR,12,meses,produto_fornecedor_ofertas:96a6c573-fa4d-432b-a46c-f9271d7de400:descricao,2026-09-05T23:26:31.54+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:11:50.995Z
MLB4881447335,VTK000232,78400094-ed29-4314-a706-ddec20726464,active,Leitor De Código De Barras Com Suporte C3tech Lb-50bk Usb 127/220v Preto,MLB5906,Garantia de fábrica,12 meses,GARANTIA_FORNECEDOR,365,dias,produto_fornecedor_ofertas:61cf6958-e115-48c9-9350-fd5efe1d6a7d:descricao,2026-09-05T23:37:28.28+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:11:51.654Z
MLB7157761186,VTK012364,86c5022a-c373-4b44-be6a-608239ef4c13,active,Calculadora De Impressao 14dig.mb7142 Rel/calen/bivolt Transparente,MLB99957,Garantia de fábrica,3 meses,GARANTIA_FORNECEDOR,6,meses,produto_fornecedor_ofertas:7b4df0b6-1e76-4c90-88d9-7310c0bf8e9c:descricao,2026-09-06T02:58:20.152+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:11:51.814Z
MLB4857638077,VTK012691,9428139b-d1f1-407f-85f0-9e4a8f4ef699,active,Calculadora De Bolso 4 Op. S.p. Cb1483 Elgin,MLB99957,Garantia de fábrica,3 meses,GARANTIA_FORNECEDOR,3,meses,produto_fornecedor_ofertas:bd6af360-ac40-488a-a4f0-fa19dc674839:descricao,2026-09-06T02:58:20.152+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:12:10.792Z
MLB4880526391,VTK012521,53ba7c1d-f601-4af4-b5a8-146e53c634fe,active,Calculadora De Bolso Solar Pilha Blister Cb1485 Preta Elgin Cor Preto Preto Cb1485,MLB99957,Garantia de fábrica,3 meses,GARANTIA_FORNECEDOR,3,meses,produto_fornecedor_ofertas:ad51703d-49d9-447b-9ee7-a4ee2c09d16f:descricao,2026-09-06T02:55:27.234+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:12:11.298Z
MLB7111714416,VTK012521,53ba7c1d-f601-4af4-b5a8-146e53c634fe,active,Calculadora De Bolso 8 Digitos Solar Cb-1485 Elgin,MLB99957,Garantia de fábrica,3 meses,GARANTIA_FORNECEDOR,3,meses,produto_fornecedor_ofertas:ad51703d-49d9-447b-9ee7-a4ee2c09d16f:descricao,2026-09-06T02:55:27.234+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:12:13.804Z
MLB7149373558,VTK012274,0128d47b-dbf1-43ff-8280-485ec35a101d,active,Calculadora Mesa Mv4122 12 Dígitos Solar Bateria Elgin Cor Cinza,MLB99957,Garantia de fábrica,3 meses,GARANTIA_FORNECEDOR,6,meses,produto_fornecedor_ofertas:0111a196-3a8b-4c11-81ad-9c89a0bcc68c:descricao,2026-09-06T02:55:27.234+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:12:25.797Z
MLB4857623081,VTK012274,0128d47b-dbf1-43ff-8280-485ec35a101d,active,Calculadora De Mesa 12 Digitos Mv-4122 Elgin,MLB99957,Garantia de fábrica,3 meses,GARANTIA_FORNECEDOR,6,meses,produto_fornecedor_ofertas:0111a196-3a8b-4c11-81ad-9c89a0bcc68c:descricao,2026-09-06T02:55:27.234+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:12:26.123Z
MLB7111709570,VTK012467,65c558da-3d26-409e-953b-7259aa09f426,active,Painel Led 24w Lys Quadrado Embutir 6500k Taschibra,MLB455833,Garantia de fábrica,3 meses,GARANTIA_FORNECEDOR,1,anos,produto_fornecedor_ofertas:a40c2972-e0b9-46b9-8625-41ba73946d4c:descricao,2026-09-06T03:04:20.713+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:12:27.134Z
MLB7149366704,VTK012639,f1cda422-5e3d-47ab-a9d9-4ed77146dbb0,active,Ferro De Solda 30w Ms-130a30w 127w Mxt 127v,MLB48611,Garantia de fábrica,3 meses,GARANTIA_FORNECEDOR,90,dias,produto_fornecedor_ofertas:52b19c1d-9450-4df0-8d58-ced7cdc33bf6:descricao,2026-09-05T23:05:20.359+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:12:37.921Z
MLB7111651970,VTK012639,f1cda422-5e3d-47ab-a9d9-4ed77146dbb0,active,Ferro De Solda 30w 127v Ms-130 A30 Mxt 127v,MLB48611,Garantia de fábrica,3 meses,GARANTIA_FORNECEDOR,90,dias,produto_fornecedor_ofertas:52b19c1d-9450-4df0-8d58-ced7cdc33bf6:descricao,2026-09-05T23:05:20.359+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:12:39.499Z
MLB4880563055,VTK012498,d6fe488d-db4a-46d4-9100-25f3648f4130,active,Calculadora De Mesa 12 Dígitos Bateria Solar Mv-4130 Elgin Cor Rosa,MLB99957,Garantia de fábrica,3 meses,GARANTIA_FORNECEDOR,6,meses,produto_fornecedor_ofertas:2056107b-a420-405f-a667-ab7ad42d30c5:descricao,2026-09-06T03:07:26.424+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:12:43.527Z
MLB7149333170,VTK012309,c3e94d23-6a91-4b1f-90dd-a79ae54c710c,active,Elgin 250mah Blister 1 Unidade Bateria Recarregável,MLB7060,Garantia de fábrica,3 meses,GARANTIA_FORNECEDOR,180,dias,produto_fornecedor_ofertas:86b7550d-cdb8-45f1-9152-b549ce990292:descricao,2026-09-05T23:39:34.295+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:12:43.850Z
MLB7111708240,VTK012498,d6fe488d-db4a-46d4-9100-25f3648f4130,active,Calculadora De Mesa 12 Digitos Cor Rosa Mv-4130 Elgin,MLB99957,Garantia de fábrica,3 meses,GARANTIA_FORNECEDOR,6,meses,produto_fornecedor_ofertas:2056107b-a420-405f-a667-ab7ad42d30c5:descricao,2026-09-06T03:07:26.424+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:12:43.845Z
MLB7111649116,VTK012309,c3e94d23-6a91-4b1f-90dd-a79ae54c710c,active,Bateria Recarregável 9v Elgin Cartela Com 01 Unidade,MLB7060,Garantia de fábrica,3 meses,GARANTIA_FORNECEDOR,180,dias,produto_fornecedor_ofertas:86b7550d-cdb8-45f1-9152-b549ce990292:descricao,2026-09-05T23:39:34.295+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:12:45.134Z
MLB7149367806,VTK012071,4537af6d-069e-43a3-901e-04b0958c8934,active,Wc 1133 Trs Conector 1/4 Stereo Linha Wireconex 10 Unidades,MLB420707,Garantia de fábrica,3 meses,GARANTIA_FORNECEDOR,3,meses,produto_fornecedor_ofertas:b8b8e258-a831-4983-8a15-49cdfc475f96:descricao,2026-09-06T02:50:23.708+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:12:58.208Z
MLB7111645438,VTK012071,4537af6d-069e-43a3-901e-04b0958c8934,active,Conector P10 Trs Stereo Wc1133 10 Un Wireconex,MLB420707,Garantia de fábrica,3 meses,GARANTIA_FORNECEDOR,3,meses,produto_fornecedor_ofertas:b8b8e258-a831-4983-8a15-49cdfc475f96:descricao,2026-09-06T02:50:23.708+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:12:58.208Z
MLB7216671126,VTK000822,39250143-aacd-48e2-b2e3-3148c27c1255,active,Patch Cord Cat5e 10m Vermelho Pluscable,MLB270088,Garantia de fábrica,12 meses,GARANTIA_FORNECEDOR,365,dias,produto_fornecedor_ofertas:273ccca2-0659-4afc-a31e-95e713e585f6:descricao,2026-09-05T23:37:28.28+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:13:03.248Z
MLB7238968080,VTK000337,50bd0ac9-f2c6-4be2-9dbf-6bd068e3318b,active,Caixa Multimídia C3tech Sp-301bk 2.0,MLB3378,Garantia de fábrica,12 meses,GARANTIA_FORNECEDOR,3,meses,produto_fornecedor_ofertas:abc0b5b3-5ca7-40e2-b61c-452a0f9ec8da:descricao,2026-09-05T23:29:29.06+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:13:08.662Z
MLB4937565601,VTK017268,a1d92fec-8eff-476e-9961-b52b396dc3a3,active,Roteador Wi-fi Tp-link Gpon Voip Archer Xr500v Dual Band,MLB5867,Garantia de fábrica,12 meses,GARANTIA_FORNECEDOR,5,anos,produto_fornecedor_ofertas:c0def1a2-1f9e-407c-84e1-f1844befde1c:descricao,2026-09-05T23:26:31.54+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:13:11.266Z
MLB4937560361,VTK002745,7fda2d8f-fb0f-4c74-91a6-d212f659df64,active,Multímetro Analógico Minipa Et-3021c Azul,MLB30214,Garantia de fábrica,12 meses,GARANTIA_FORNECEDOR,12,meses,produto_fornecedor_ofertas:4025ac2a-aa4d-48d9-b6db-7111a34873fb:descricao,2026-09-05T23:44:32.769+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:13:12.030Z
MLB4937552987,VTK018829,503d5406-8395-4b04-bae6-5194a0b18084,active,Refletor Led Pro Elgin 400w 6500k Ip66 Bivolt Preto 127/220v Branco-frio,MLB189884,Garantia de fábrica,12 meses,GARANTIA_FORNECEDOR,1,anos,produto_fornecedor_ofertas:3ba1a319-735f-4ad7-9c39-1fe26870b1c5:descricao,2026-09-06T00:09:15.988+00:00,,CORRIGIR_APOS_AUTORIZACAO,False,2026-09-06T03:13:12.349Z
