"sku","fornecedor","nome","gtin_atual","categoria_gtin","justificativa","fonte","status","conditional_required_ids","dslite_gtin_live"
"VTK012282","BKR1","Palheta Bori Grl At-r16108 S.t.d 0,80 Mm (azul) R21012 10un","","conditional_required","Identidade não confirmada; comparação de GTIN não aplicável.","DSLite fornecedor 108; ML categoria MLB45712","GTIN_IDENTITY_BLOCKED","GTIN",""
"VTK012283","BKR1","Palheta Bori Grl At-r16146 Rio Xxl (vermelho) R21028 10un","","conditional_required","Identidade não confirmada; comparação de GTIN não aplicável.","DSLite fornecedor 108; ML categoria MLB45712","GTIN_IDENTITY_BLOCKED","GTIN",""
"VTK012297","BKR1","Kit 04 Conectores Xlr Macho P/ Pci 3 Polos Wc 4050 Wireconex","","conditional_required","Identidade não confirmada; comparação de GTIN não aplicável.","DSLite fornecedor 108; ML categoria MLB420707","GTIN_IDENTITY_BLOCKED","GTIN",""
"VTK012301","BKR1","Palheta Bori Grl At-r16145 Rio Iii (preto) R21031 10un","","conditional_required","Identidade não confirmada; comparação de GTIN não aplicável.","DSLite fornecedor 108; ML categoria MLB45712","GTIN_IDENTITY_BLOCKED","GTIN",""
"VTK012304","BKR1","Palheta Guitarra Color 1cap6 D Addario 1.00mm 10un","","conditional_required","Identidade não confirmada; comparação de GTIN não aplicável.","DSLite fornecedor 108; ML categoria MLB45712","GTIN_IDENTITY_BLOCKED","GTIN",""
"VTK012310","BKR1","Palheta Bori Grl At-r16142 Rio Ii (vermelho) R21026 10un","","conditional_required","Identidade não confirmada; comparação de GTIN não aplicável.","DSLite fornecedor 108; ML categoria MLB45712","GTIN_IDENTITY_BLOCKED","GTIN",""
"VTK012319","BKR1","Palheta Bori Grl At-r16115 Azul Crystal 0,96 Mm R21008 10un","","conditional_required","Identidade não confirmada; comparação de GTIN não aplicável.","DSLite fornecedor 108; ML categoria MLB45712","GTIN_IDENTITY_BLOCKED","GTIN",""
"VTK012320","BKR1","Palheta Bori Grl At-r16136 Drip Gota 2,50 Mm (azul) R21019 10un","","conditional_required","Identidade não confirmada; comparação de GTIN não aplicável.","DSLite fornecedor 108; ML categoria MLB45712","GTIN_IDENTITY_BLOCKED","GTIN",""
"VTK012321","BKR1","Palheta Bori Grl At-r16144 Rio Iii (vermelho) R21027 10un","","conditional_required","Identidade não confirmada; comparação de GTIN não aplicável.","DSLite fornecedor 108; ML categoria MLB45712","GTIN_IDENTITY_BLOCKED","GTIN",""
"VTK012327","BKR1","Kit 04 Conectores Xlr Femea P/ Pci 3 Polos Wc 4046 Wireconex","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 108; ML categoria MLB420707","GTIN_LOOKUP_BLOCKED","GTIN",""
"VTK012335","BKR1","Palheta Bori Grl At-r16112 S.t.d 1,14 Mm (preto) R21016 10un","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 108; ML categoria MLB45712","GTIN_LOOKUP_BLOCKED","GTIN",""
"VTK012336","BKR1","Palheta Bori Grl At-r16132 Drip Gota 1,50 Mm (azul) R21017 10un","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 108; ML categoria MLB45712","GTIN_LOOKUP_BLOCKED","GTIN",""
"VTK012337","BKR1","Palheta Bori Grl At-r16138 Drip Gota 3,00 Mm (azul) R21020 10un","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 108; ML categoria MLB45712","GTIN_LOOKUP_BLOCKED","GTIN",""
"VTK012359","BKR1","Palheta Bori Grl At-r16134 Drip Gota 2,00 Mm (azul) R21018 10un","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 108; ML categoria MLB45712","GTIN_LOOKUP_BLOCKED","GTIN",""
"VTK012369","BKR1","Adaptadores Rca Fêmea P/xlr 3p Macho Niq. Wc 245 Ad 02 Unidades Wireconex","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 108; ML categoria MLB195961","GTIN_LOOKUP_BLOCKED","GTIN",""
"VTK012383","BKR1","Palheta Guitarra Mul Lght 1cmc2 D Addario .50mm 10un","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 108; ML categoria MLB45712","GTIN_LOOKUP_BLOCKED","GTIN",""
"VTK012384","BKR1","Palheta Guitarra Color 1cap2 D Addario .50mm 10 Un","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 108; ML categoria MLB45712","GTIN_LOOKUP_BLOCKED","GTIN",""
"VTK012408","BKR1","Palheta Bori Grl At-r16107 S.t.d 0,78 Mm (rosa) R21011 10un","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 108; ML categoria MLB45712","GTIN_LOOKUP_BLOCKED","GTIN",""
"VTK012420","BKR1","Bateria 9v Alcalina Unidade Flex","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 108; ML categoria MLB7060","GTIN_LOOKUP_BLOCKED","GTIN",""
"VTK012421","BKR1","Palheta Guitarra Shl Lght 1csh2 D Addario .50mm 10un","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 108; ML categoria MLB45712","GTIN_LOOKUP_BLOCKED","GTIN",""
"VTK012422","BKR1","Palheta Guitarra Mul Med 1cmc4 D Addario .70mm 10un","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 108; ML categoria MLB45712","GTIN_LOOKUP_BLOCKED","GTIN",""
"VTK012470","BKR1","Palheta Bori Grl At-r16114 Azul Crystal 0,82 Mm R21007 10un","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 108; ML categoria MLB45712","GTIN_LOOKUP_BLOCKED","GTIN",""
"VTK012502","BKR1","Polidor Spray Shine Pw-pl-03 D Addario","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 108; ML categoria MLB188789","GTIN_LOOKUP_BLOCKED","",""
"VTK012543","BKR1","Palheta Bori Grl At-r16109 S.t.d 0,89 Mm (roxo) R21013 10un","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 108; ML categoria MLB45712","GTIN_LOOKUP_BLOCKED","GTIN",""
"VTK012613","BKR1","Palheta Royal Tenor Rkb0125 D Addario","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 108; ML categoria MLB278096","GTIN_LOOKUP_BLOCKED","GTIN",""
"VTK012628","BKR1","Palheta Guitarra Dur Prec 6dbu5 D Addario 1.00mm 10un","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 108; ML categoria MLB45712","GTIN_LOOKUP_BLOCKED","GTIN",""
"VTK012668","BKR1","Palheta Guitarra Med 1ccf4 D Addario .70mm 10un","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 108; ML categoria MLB45712","GTIN_LOOKUP_BLOCKED","GTIN",""
"VTK012669","BKR1","Palheta Guitarra Dur Prec 6dbk7 D Addario 1.50mm 10un","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 108; ML categoria MLB45712","GTIN_LOOKUP_BLOCKED","GTIN",""
"VTK012670","BKR1","Palheta Guitarra Color 1cap7 D Addario 1.25mm 10un","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 108; ML categoria MLB45712","GTIN_LOOKUP_BLOCKED","GTIN",""
"VTK012687","BKR1","Cabo De Microfone Pro Balanceado Emborrachado Xlr Xlr 0,40 Cm Mpbe-0,40 Wireconex","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 108; ML categoria MLB72745","GTIN_LOOKUP_BLOCKED","GTIN",""
"VTK012699","BKR1","Painel Medusa 28 Furos Xlr Com Conectores Wireconex","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 108; ML categoria MLB420707","GTIN_LOOKUP_BLOCKED","GTIN",""
"VTK012729","BKR1","Cabo P10 Prowire Em L Tweed Lilás/prata 6,10m Wireconex","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 108; ML categoria MLB72745","GTIN_LOOKUP_BLOCKED","GTIN",""
"VTK012763","BKR1","Palheta Guitarra Shl Hvy 1csh6 D Addario 1.00mm 10un","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 108; ML categoria MLB45712","GTIN_LOOKUP_BLOCKED","GTIN",""
"VTK012764","BKR1","Palheta Guitarra Dur Prec 6dpr6 D Addario 1.20mm 10un","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 108; ML categoria MLB45712","GTIN_LOOKUP_BLOCKED","GTIN",""
"VTK012765","BKR1","Adaptador Rca Macho P/xlr 3p Macho Niq. Wc 243 Ad 02 Unidades Wireconex","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 108; ML categoria MLB195961","GTIN_LOOKUP_BLOCKED","GTIN",""
"VTK012772","BKR1","Caixa De Som Passiva 8 Polegadas 100 W Rms - Attack Vrf810","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 108; ML categoria MLB11507","GTIN_LOOKUP_BLOCKED","GTIN",""
"VTK012896","BKR1","Caixa Ativa 12"" 200w Rms Mk1225a Bt Mark Audio","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 108; ML categoria MLB11507","GTIN_LOOKUP_BLOCKED","GTIN",""
"VTK017179","Evolusom","Teclado Logitech K120 Usb Preto","","conditional_required","GTIN não localizado nas evidências validadas.","DSLite fornecedor 133; ML categoria MLB418472","GTIN_NOT_FOUND","GTIN","097855088758"
"VTK017202","Evolusom","Tesoura Seccon Corta Kevlar 5,8"" Ct-c151n","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 133; ML categoria MLB178926","GTIN_LOOKUP_BLOCKED","",""
"VTK017210","Evolusom","Terminal De Fio Permak Encaixe Macho","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 133; ML categoria MLB38172","GTIN_LOOKUP_BLOCKED","GTIN",""
"VTK017233","Evolusom","Suporte Antena 10-a Telha Brasilit 32mm Tubo 3/ 4 Prata Cromo","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 133; ML categoria MLB245398","GTIN_LOOKUP_BLOCKED","",""
"VTK017234","Evolusom","Suporte Antena Cromo 211-b Emenda Tubo 1""","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 133; ML categoria MLB245398","GTIN_LOOKUP_BLOCKED","",""
"VTK017235","Evolusom","Suporte Antena 313-af Telha Francesa Tubo 3/ 4 Com Suporte Prata Cromo","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 133; ML categoria MLB245398","GTIN_LOOKUP_BLOCKED","",""
"VTK017240","Evolusom","Cabo Vga Evus C-041 Hd15 Macho X Hd15 Macho Com Filtro 10,0m","","conditional_required","Identidade não confirmada; comparação de GTIN não aplicável.","DSLite fornecedor 133; ML categoria MLB431813","GTIN_IDENTITY_BLOCKED","GTIN",""
"VTK017241","Evolusom","Cabo Vga Evus C-044 Hd15 Macho X Hd15 Macho Com Filtro 20,0m","","conditional_required","Identidade não confirmada; comparação de GTIN não aplicável.","DSLite fornecedor 133; ML categoria MLB431813","GTIN_IDENTITY_BLOCKED","GTIN",""
"VTK017242","Evolusom","Cabo Hdmi Evus C-051 4k Macho X Macho V2.0 5,0m","","conditional_required","Identidade não confirmada; comparação de GTIN não aplicável.","DSLite fornecedor 133; ML categoria MLB431813","GTIN_IDENTITY_BLOCKED","GTIN",""
"VTK017243","Evolusom","Cabo Hdmi Evus C-052 4k Macho X Macho V2.0 10,0m","","conditional_required","Identidade não confirmada; comparação de GTIN não aplicável.","DSLite fornecedor 133; ML categoria MLB431813","GTIN_IDENTITY_BLOCKED","GTIN",""
"VTK017248","Evolusom","Trafo De Linha Frahm T10 10w/70v","","conditional_required","Identidade não confirmada; comparação de GTIN não aplicável.","DSLite fornecedor 133; ML categoria MLB30197","GTIN_IDENTITY_BLOCKED","",""
"VTK017252","Evolusom","Cabo Otg Evus C-078 Lightning X Usb 2.0 15cm","","conditional_required","Identidade não confirmada; comparação de GTIN não aplicável.","DSLite fornecedor 133; ML categoria MLB5080","GTIN_IDENTITY_BLOCKED","",""
"VTK017259","Evolusom","Conector Klc Tnc Tm-1 Macho Rg/rgc 58","","conditional_required","Identidade não confirmada; comparação de GTIN não aplicável.","DSLite fornecedor 133; ML categoria MLB70452","GTIN_IDENTITY_BLOCKED","",""
"VTK017260","Evolusom","Conector Klc Macho Rg/rgc Km-8","","conditional_required","Identidade não confirmada; comparação de GTIN não aplicável.","DSLite fornecedor 133; ML categoria MLB70452","GTIN_IDENTITY_BLOCKED","",""
"VTK017261","Evolusom","Conector Klc N Macho Reto Rg/ Rgc 58 Cm-97","","conditional_required","Identidade não confirmada; comparação de GTIN não aplicável.","DSLite fornecedor 133; ML categoria MLB70452","GTIN_IDENTITY_BLOCKED","",""
"VTK017262","Evolusom","Conector Tnc Macho Rt Rg/rgcc 213 Tm-10","","conditional_required","Identidade não confirmada; comparação de GTIN não aplicável.","DSLite fornecedor 133; ML categoria MLB70452","GTIN_IDENTITY_BLOCKED","",""
"VTK017263","Evolusom","Conector Uhf Fem Rg/rgcc 58(cn-130)kf-11","","conditional_required","Identidade não confirmada; comparação de GTIN não aplicável.","DSLite fornecedor 133; ML categoria MLB70452","GTIN_IDENTITY_BLOCKED","",""
"VTK017278","Evolusom","Carregador Veicular Usb Evus C-098 Com Led 5v 2a","","conditional_required","Identidade não confirmada; comparação de GTIN não aplicável.","DSLite fornecedor 133; ML categoria MLB430121","GTIN_IDENTITY_BLOCKED","",""
"VTK017279","Evolusom","Conector Rj-45 Macho Evus C-103 Cat6 Blindado 100un.","","conditional_required","Identidade não confirmada; comparação de GTIN não aplicável.","DSLite fornecedor 133; ML categoria MLB432918","GTIN_IDENTITY_BLOCKED","",""
"VTK017297","Evolusom","Cooler Gamer Evus F-12rgb Fan 12cm Com Led Rgb","","conditional_required","Identidade não confirmada; comparação de GTIN não aplicável.","DSLite fornecedor 133; ML categoria MLB2676","GTIN_IDENTITY_BLOCKED","",""
"VTK017353","Evolusom","Fonte Atx Evus Psu-200 Oem 200w 20/24p 2 Sata - PC / 10","","conditional_required","Identidade não confirmada; comparação de GTIN não aplicável.","DSLite fornecedor 133; ML categoria MLB6777","GTIN_IDENTITY_BLOCKED","",""
"VTK017366","Evolusom","Caixa Atendimento óptico 1x16 Cto","","conditional_required","Identidade não confirmada; comparação de GTIN não aplicável.","DSLite fornecedor 133; ML categoria MLB271728","GTIN_IDENTITY_BLOCKED","",""
"VTK017369","Evolusom","Cooler Para Rack Evus Ev-fu2 120x120mm 110v","","conditional_required","Identidade não confirmada; comparação de GTIN não aplicável.","DSLite fornecedor 133; ML categoria MLB2676","GTIN_IDENTITY_BLOCKED","",""
"VTK017374","Evolusom","Cooler Gamer Evus F-12fix Fan 12cm Com Led","","conditional_required","Identidade não confirmada; comparação de GTIN não aplicável.","DSLite fornecedor 133; ML categoria MLB2676","GTIN_IDENTITY_BLOCKED","",""
"VTK017378","Evolusom","Carregador De Celular Roadstar Rs109-2ubr Com 2 Usb","","conditional_required","Identidade não confirmada; comparação de GTIN não aplicável.","DSLite fornecedor 133; ML categoria MLB430121","GTIN_IDENTITY_BLOCKED","",""
"VTK017400","Evolusom","Cabo Solar Cabel 6,0mm² Preto 25m","","conditional_required","Identidade não confirmada; comparação de GTIN não aplicável.","DSLite fornecedor 133; ML categoria MLB455358","GTIN_IDENTITY_BLOCKED","",""
"VTK017401","Evolusom","Cabo Solar Cabel 6,0mm² Vermelho 25m","","conditional_required","Identidade não confirmada; comparação de GTIN não aplicável.","DSLite fornecedor 133; ML categoria MLB455358","GTIN_IDENTITY_BLOCKED","",""
"VTK017402","Evolusom","Cabo Solar Cabel 6,0mm² Preto 50m","","conditional_required","Identidade não confirmada; comparação de GTIN não aplicável.","DSLite fornecedor 133; ML categoria MLB455358","GTIN_IDENTITY_BLOCKED","",""
"VTK017403","Evolusom","Cabo Solar Cabel 6,0mm² Vermelho 50m","","conditional_required","Identidade não confirmada; comparação de GTIN não aplicável.","DSLite fornecedor 133; ML categoria MLB455358","GTIN_IDENTITY_BLOCKED","",""
"VTK017408","Evolusom","Bateria Alcalina Elgin A23 Blister Com 5 Unidades.","","conditional_required","Identidade não confirmada; comparação de GTIN não aplicável.","DSLite fornecedor 133; ML categoria MLB7060","GTIN_IDENTITY_BLOCKED","GTIN",""
"VTK017410","Evolusom","Canaleta Industrial Fechada Enerbras 5050-eb 50x50x2000mm Branca","","conditional_required","Identidade não confirmada; comparação de GTIN não aplicável.","DSLite fornecedor 133; ML categoria MLB73351","GTIN_IDENTITY_BLOCKED","GTIN",""
"VTK017435","Evolusom","Conector T Deye Para Micro Inversor Sun-m225g4","","conditional_required","Identidade não confirmada; comparação de GTIN não aplicável.","DSLite fornecedor 133; ML categoria MLB38172","GTIN_IDENTITY_BLOCKED","",""
"VTK017436","Evolusom","(ind) Cabo Tronco Deye P/sun-m225g4","","conditional_required","Identidade não confirmada; comparação de GTIN não aplicável.","DSLite fornecedor 133; ML categoria MLB270286","GTIN_IDENTITY_BLOCKED","",""
"VTK017523","Evolusom","Tela Plástica Permak 12"" Para Alto Falante Tipo Arlem 121 - PC / 2","","conditional_required","Identidade não confirmada; comparação de GTIN não aplicável.","DSLite fornecedor 133; ML categoria MLB6535","GTIN_IDENTITY_BLOCKED","GTIN",""
"VTK017524","Evolusom","Tela Plástica Permak 6"" Para Alto Falante Tipo Arlem 115 - PC / 2","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 133; ML categoria MLB6535","GTIN_LOOKUP_BLOCKED","GTIN",""
"VTK017531","Evolusom","Terminal De Fio Aberto Forquilha1/8 Permak Para Módulo - 100un.","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 133; ML categoria MLB38172","GTIN_LOOKUP_BLOCKED","GTIN",""
"VTK017538","Evolusom","Trafo Audio Frahm Linha T5i 70/ 210v","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 133; ML categoria MLB30197","GTIN_LOOKUP_BLOCKED","",""
"VTK017548","Evolusom","Conector Klc Com Uhf Macho R Red Rg/rgcc 58 Km-16","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 133; ML categoria MLB70452","GTIN_LOOKUP_BLOCKED","",""
"VTK017567","Evolusom","Combo Teclado E Mouse Sem Fio Logitech Mk270 Preto/cinza","","conditional_required","GTIN não localizado nas evidências validadas.","DSLite fornecedor 133; ML categoria MLB5914","GTIN_NOT_FOUND","GTIN","097855088864"
"VTK017600","Evolusom","Refil De Tinta Epson T544322 Magenta","","conditional_required","Identidade não confirmada; comparação de GTIN não aplicável.","DSLite fornecedor 133; ML categoria MLB3561","GTIN_IDENTITY_BLOCKED","GTIN","010343988552"
"VTK017629","Evolusom","Cabo Extensão De Antena Permak 2,50 Metros - PC / 2","","conditional_required","Identidade não confirmada; comparação de GTIN não aplicável.","DSLite fornecedor 133; ML categoria MLB271371","GTIN_IDENTITY_BLOCKED","",""
"VTK017651","Evolusom","Refil Tinta Epson T504 Preto","","conditional_required","Identidade não confirmada; comparação de GTIN não aplicável.","DSLite fornecedor 133; ML categoria MLB3561","GTIN_IDENTITY_BLOCKED","GTIN",""
"VTK017668","Evolusom","Combo Teclado E Mouse Logitech Mk120 Usb Preto Com Fio","","conditional_required","Identidade não confirmada; comparação de GTIN não aplicável.","DSLite fornecedor 133; ML categoria MLB5914","GTIN_IDENTITY_BLOCKED","GTIN","097855088840"
"VTK017740","Evolusom","Suporte Antena 207-b Tripe Laje Tubo 1"" Prata Cromo","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 133; ML categoria MLB245398","GTIN_LOOKUP_BLOCKED","",""
"VTK017771","Evolusom","Refil De Tinta Epson T544422 Amarelo","","conditional_required","GTIN não localizado nas evidências validadas.","DSLite fornecedor 133; ML categoria MLB3561","GTIN_NOT_FOUND","GTIN","010343988569"
"VTK017799","Evolusom","Mouse Logitech Silent M110 Usb Preto","","conditional_required","GTIN não localizado nas evidências validadas.","DSLite fornecedor 133; ML categoria MLB1714","GTIN_NOT_FOUND","GTIN","097855181138"
"VTK017803","Evolusom","Extensão Daneva Sort Pl 2x0.75mm² 5 Metros Cores Sortidas Ref1514","","conditional_required","Identidade não confirmada; comparação de GTIN não aplicável.","DSLite fornecedor 133; ML categoria MLB270904","GTIN_IDENTITY_BLOCKED","",""
"VTK017814","Evolusom","Espiral Duto Lbrx Laranja 3/4 19x16 Rolo 50 Metros","","conditional_required","Identidade não confirmada; comparação de GTIN não aplicável.","DSLite fornecedor 133; ML categoria MLB271708","GTIN_IDENTITY_BLOCKED","",""
"VTK017826","Evolusom","Rele De Buzina Permak Universal 5 Terminais","","not_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 133; ML categoria MLB456688","GTIN_LOOKUP_BLOCKED","",""
"VTK017827","Evolusom","Protetor Para Interfone Moros - Branco","","conditional_required","Identidade não confirmada; comparação de GTIN não aplicável.","DSLite fornecedor 133; ML categoria MLB7075","GTIN_IDENTITY_BLOCKED","",""
"VTK017840","Evolusom","Lnbf Multiponto Elsys Banda C - PC / 2","","conditional_required","Identidade não confirmada; comparação de GTIN não aplicável.","DSLite fornecedor 133; ML categoria MLB245398","GTIN_IDENTITY_BLOCKED","",""
"VTK017866","Evolusom","Alça Pré Formada Para Cabo 9,60/ 10,40 Acpo6104 Preto - PC / 10","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 133; ML categoria MLB269730","GTIN_LOOKUP_BLOCKED","",""
"VTK017869","Evolusom","Lanterna Rayovac Indestrutível","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 133; ML categoria MLB430264","GTIN_LOOKUP_BLOCKED","GTIN","10012800537195"
"VTK017902","Evolusom","Controle Remoto Mxt 01370 Ar Inverter Springer Midea","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 133; ML categoria MLB196072","GTIN_LOOKUP_BLOCKED","GTIN",""
"VTK017903","Evolusom","Cabo Hdmi X Dvi Nwt Cbhd0001 Macho X Macho Entrada Dvi 18+1 Saída Hdmi 1.4 Com Filtro 2m","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 133; ML categoria MLB431813","GTIN_LOOKUP_BLOCKED","",""
"VTK017934","Evolusom","Caixa R.l.p. Vazia Corujinha A.f 6 + Rádio + Duto","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 133; ML categoria MLB9164","GTIN_LOOKUP_BLOCKED","",""
"VTK017936","Evolusom","Refil Tinta Epson Amarelo T664420-al","","conditional_required","GTIN não localizado nas evidências validadas.","DSLite fornecedor 133; ML categoria MLB3561","GTIN_NOT_FOUND","GTIN","010343885325"
"VTK017939","Evolusom","Caixa Dio 19"" Evus Ev-dio12 12fo Para Rack Preto","","conditional_required","Fonte oficial deferred: firecrawl_http_402_circuit_open","DSLite fornecedor 133; ML categoria MLB277385","GTIN_LOOKUP_BLOCKED","",""
