ordem,sku,produto,fornecedor,oferta_id,custo,estoque,identidade,conflito,vinculo,economia_competitiva,preco_alvo_vivo,margem_alvo_viva,piso,demanda,contribuicao_competitiva,fila,gate_publicacao,motivos,avisos,garantia_prazo_comprovado,publicado,ml_item_id,preco_publicado,margem_publicada
11,VTK018319,Esmerilhadeira Angular Multilaser Fe048 700w 127v,EVOLUSOM-PR,6f20e543-6383-4a8f-a2dd-7697c757c67d,155.9,6,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,258.72,0.10003092145949287,0.07,SEM_EVIDENCIA_DE_DEMANDA,62.35,PUBLICADO_EXPERIMENTO,PUBLICADO_VALIDADO,,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,True,MLB7594387528,258.72,0.10582869511440939
12,VTK017249,Cabo óptico Splitter Intelbras Plc 1x2 Sc/ Upc Xfs121 4830028,EVOLUSOM-PR,bdf0cbe3-c9fb-47af-9eec-0b8a8f463b1d,35.9,50,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,67.19,0.07009971721982439,0.05,SEM_EVIDENCIA_DE_DEMANDA,43.13,PUBLICADO_EXPERIMENTO,PUBLICADO_VALIDADO,,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,True,MLB5192488569,70.08,0.07006278538812785
13,VTK002091,Caixa Medusa Santo Angelo Bsmed12 12 Vias 1 Saída,EVOLUSOM-PR,89ab142e-aba9-4c1e-ac55-c1d860e470b7,99.9,9,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,165.03,0.07004787008422711,0.05,SEM_EVIDENCIA_DE_DEMANDA,36.45,EXPLORATORIOS,NAO_SELECIONADO_NESTA_COORTE,Fila preservada para validação de completude em próxima coorte; sem nova autorização de publicação.,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
14,VTK019530,Antena Móvel Aquário B-2004p Pop Com 1/4 De Onda Para Rádio Px Com Base De Poliuretano,EVOLUSOM-PR,00358350-7888-4432-a3c5-85ddbd296f65,98.9,4,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,167.68,0.07001431297709923,0.05,SEM_EVIDENCIA_DE_DEMANDA,36.4,EXPLORATORIOS,NAO_SELECIONADO_NESTA_COORTE,Fila preservada para validação de completude em próxima coorte; sem nova autorização de publicação.,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
15,VTK017289,Bandeja P/ Rack Evus Ev-ftw450 450mm Preto Ventilada,EVOLUSOM-PR,7f188ea8-1741-4fb7-8185-1ee86f152261,52.9,50,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,94.76,0.07007176023638666,0.05,SEM_EVIDENCIA_DE_DEMANDA,34.82,EXPLORATORIOS,NAO_SELECIONADO_NESTA_COORTE,Fila preservada para validação de completude em próxima coorte; sem nova autorização de publicação.,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
16,VTK018318,Furadeira De Impacto Multilaser Fe033 600w 127v,EVOLUSOM-PR,62088e33-4e6c-4871-8be4-72a962c1d713,139.9,9,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,236.08,0.10000847170450694,0.07,SEM_EVIDENCIA_DE_DEMANDA,28.06,EXPLORATORIOS,NAO_SELECIONADO_NESTA_COORTE,Fila preservada para validação de completude em próxima coorte; sem nova autorização de publicação.,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
17,VTK026044,Mouse Intelbras Msi50 Sem Fio Preto,EVOLUSOM-PR,57c6546f-4141-477a-aa2e-602712b0a36f,39.9,50,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,73.7,0.0700135685210312,0.05,SEM_EVIDENCIA_DE_DEMANDA,26.5,PUBLICADO_EXPERIMENTO,PUBLICADO_VALIDADO,,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,True,MLB7594388436,73.7,0.0700135685210312
18,VTK018303,"Corda Giannini Para Contrabaixo Geebrs 6 0.032"" Pesado",EVOLUSOM-PR,a5fdd5d1-59ec-4f9c-8129-7b16059aef15,100.5,10,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,163.28,0.07000244977951985,0.05,SINAL_INDIRETO,20.84,PRONTOS_PARA_ANALISE,NAO_SELECIONADO_NESTA_COORTE,Fila preservada para validação de completude em próxima coorte; sem nova autorização de publicação.,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
19,VTK017481,Cabo Rca Mxt Profissional Blindado 2 Rca + 2 Rca Azul 4mm - 05 Metros,EVOLUSOM-PR,547cb64c-a61b-4b14-ada1-21e939d0f679,21.1,15,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,47.49,0.07012002526847758,0.05,SEM_EVIDENCIA_DE_DEMANDA,20.18,PUBLICADO_EXPERIMENTO,PUBLICADO_VALIDADO,,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,True,MLB7594388458,47.49,0.07012002526847758
20,VTK017628,Multímetro Digital Tipo Alicate Mxt Ft266,EVOLUSOM-PR,3959e7f4-b8ec-4b74-ba9b-07e0e67cec89,45.9,38,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,82.18,0.07009004623996105,0.05,SEM_EVIDENCIA_DE_DEMANDA,17.67,EXPLORATORIOS,NAO_SELECIONADO_NESTA_COORTE,Fila preservada para validação de completude em próxima coorte; sem nova autorização de publicação.,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
21,VTK018081,Sensor De Estacionamento Roadstar Rs304br - Prata,EVOLUSOM-PR,f88bd761-63fc-482e-9ea0-d1fe733d86e8,51.9,12,IDENTIDADE_COHERENTE,PENDENCIA_VALIDACAO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,90.42,0.07000663570006635,0.05,SEM_EVIDENCIA_DE_DEMANDA,17.42,PENDENCIAS_IDENTIDADE,NAO_PUBLICAR,"Marca ROADSTAR BRASIL/ROADSTAR resolvida. Revisão encontrou diâmetro 18,5 mm na descrição ML versus 18 mm na oferta; confirmar medida física antes de vender nessa página.",APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
22,VTK017877,Sensor De Estacionamento Roadstar Rs304br - Preto Brilhante,EVOLUSOM-PR,31e63ac0-a2fa-44d7-a9af-054d3cb53e93,51.9,9,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,90.42,0.07000663570006635,0.05,SEM_EVIDENCIA_DE_DEMANDA,15.9,EXPLORATORIOS,NAO_SELECIONADO_NESTA_COORTE,Fila preservada para validação de completude em próxima coorte; sem nova autorização de publicação.,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
23,VTK018404,Calculadora De Mesa Truly 12 Dígitos - T882,EVOLUSOM-PR,fed1f1e5-7971-404d-af0f-7205bf3a7474,54.9,4,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,92.68,0.07002589555459646,0.05,SEM_EVIDENCIA_DE_DEMANDA,11.65,PUBLICADO_EXPERIMENTO,PUBLICADO_VALIDADO,,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,True,MLB5192489303,92.68,0.060315062580923604
24,VTK018562,Antena Permak Para Palio/ Mobi Com Cabo 3 Metros - Ref. 100/g,EVOLUSOM-PR,6e3377b4-99ef-46b8-b319-f84fa2394c30,32.9,4,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,63.94,0.07006568658116985,0.05,SEM_EVIDENCIA_DE_DEMANDA,8.27,EXPLORATORIOS,NAO_SELECIONADO_NESTA_COORTE,Fila preservada para validação de completude em próxima coorte; sem nova autorização de publicação.,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
25,VTK026052,Microfone Condensador De Mesa Mxt Mx-mc017 P2 Com Tripé,EVOLUSOM-PR,48500e2d-5359-429f-94d5-a835574d982b,52.9,9,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,93.92,0.07005962521294719,0.05,SEM_EVIDENCIA_DE_DEMANDA,6.64,PUBLICADO_EXPERIMENTO,PUBLICADO_VALIDADO,,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,True,MLB5192489345,93.92,0.07005962521294719
26,VTK005849,Esguicho Kepper Em Alumínio 30cm Azul,EVOLUSOM-PR,0807a761-0456-414f-9f5d-087ec1f467d4,29.9,7,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,58.53,0.07004954724073124,0.05,SEM_EVIDENCIA_DE_DEMANDA,5.2,PUBLICADO_EXPERIMENTO,PUBLICADO_VALIDADO,,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,True,MLB5192503807,76.28,0.07000524383848977
27,VTK018417,Capotraste De Alumínio Para Violão Mxt Mc-5001 Preto,EVOLUSOM-PR,bc58c49e-b15b-48d6-ab69-7549b1f4d772,10.7,9,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,32.32,0.07023514851485149,0.05,SEM_EVIDENCIA_DE_DEMANDA,4.43,PUBLICADO_EXPERIMENTO,PUBLICADO_VALIDADO,,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,True,MLB5192491275,32.32,0.07023514851485149
28,VTK012894,Caixa De Som Passiva 12 Polegadas 300 W Rms - Attack Vsf112,BKR1,ec23286e-f6dd-4b95-b7d5-a2550af290a2,1776.6,2,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_ACIMA_DO_PISO,2932.45,0.15000085252945491,0.1,SEM_EVIDENCIA_DE_DEMANDA,348.21,EXPLORATORIOS,NAO_SELECIONADO_NESTA_COORTE,Fila preservada para validação de completude em próxima coorte; sem nova autorização de publicação.,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
29,VTK018798,"Central Multimídia Roadstar Rs606br 7"" Mp6 Com Tv Digital",EVOLUSOM-PR,cc10276d-448b-41f7-b90f-bf06cd60af89,549.9,4,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_ACIMA_DO_PISO,825.24,0.10000727061218555,0.07,SEM_EVIDENCIA_DE_DEMANDA,76.76,EXPLORATORIOS,NAO_SELECIONADO_NESTA_COORTE,Fila preservada para validação de completude em próxima coorte; sem nova autorização de publicação.,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
30,VTK017306,Cooler Para Processador Evus Cp-130 Rainbow,EVOLUSOM-PR,792facd5-2cc2-4d94-b468-14a2174b7449,69.9,50,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_ACIMA_DO_PISO,124.03,0.07006369426751592,0.05,SEM_EVIDENCIA_DE_DEMANDA,7.63,EXPLORATORIOS,NAO_SELECIONADO_NESTA_COORTE,Fila preservada para validação de completude em próxima coorte; sem nova autorização de publicação.,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
31,VTK012944,Correia Vt Sl 82 Cafe Floral Basso,BKR1,41c3e6b0-00fc-4041-aa35-30f3286a5f38,71.33,6,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_ACIMA_DO_PISO,122.21,0.07004336797316096,0.05,SINAL_INDIRETO,6.83,PRONTOS_PARA_ANALISE,NAO_SELECIONADO_NESTA_COORTE,Fila preservada para validação de completude em próxima coorte; sem nova autorização de publicação.,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
32,VTK023554,Alicate Para Crimpar Mxt Rj45,EVOLUSOM-PR,3cbc3fc6-b67e-4122-8969-5b3d0600065e,21.2,23,IDENTIDADE_COHERENTE,SEM_CONFLITO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_ACIMA_DO_PISO,46.97,0.07004470938897168,0.05,SEM_EVIDENCIA_DE_DEMANDA,3.1,EXPLORATORIOS,NAO_SELECIONADO_NESTA_COORTE,Fila preservada para validação de completude em próxima coorte; sem nova autorização de publicação.,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
33,VTK018671,"Alto Falante Bomber Kit Two Way Tkl 6"" 60w Rms",EVOLUSOM-PR,b9b9fa0b-92c1-4ee1-be84-e60a92e5a277,296.99,6,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,,,,SEM_EVIDENCIA_DE_DEMANDA,201.08,PENDENCIAS_IDENTIDADE,PENDENTE,COMPOSICAO_KIT_NAO_COMPROVADA,CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
34,VTK018071,"Caixa Dio Evus 19"" 48fo P/ Rack Preto",EVOLUSOM-PR,511f594c-88be-4f7f-b35d-f74aaa9076bc,299.9,15,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,,,,SEM_EVIDENCIA_DE_DEMANDA,163.08,PENDENCIAS_IDENTIDADE,PENDENTE,EVIDENCIA_IDENTIDADE_INCOMPLETA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
35,VTK018158,Fita Antiderrapante Western 5cm X 5m,EVOLUSOM-PR,c4b76a95-eb6b-4bfb-9ca1-6a8a4bf20c2f,26.01,8,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,,,,SEM_EVIDENCIA_DE_DEMANDA,123.98,PENDENCIAS_IDENTIDADE,PENDENTE,EVIDENCIA_IDENTIDADE_INCOMPLETA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
36,VTK017309,Kit Cooler Fan Evus Fk-12p Rgb,EVOLUSOM-PR,46360b88-ccf5-4d30-8be0-9f4f514aaaf9,89.9,50,IDENTIDADE_DIVERGENTE,CONFLITO_CONFIRMADO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,,,,SEM_EVIDENCIA_DE_DEMANDA,108.41,CONFLITOS,BLOQUEADO_CONFLITO_MATERIAL,DIVERGENCIA_ATRIBUTO_PINS_NUMBER,CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
37,VTK017612,Patch Cord Furukawa Cat6 Cmx 10m Vermelho 35123011,EVOLUSOM-PR,a8972c1f-b95a-402d-a25c-52c5f30f71ea,79.9,34,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,,,,SEM_EVIDENCIA_DE_DEMANDA,69.16,PENDENCIAS_IDENTIDADE,PENDENTE,EVIDENCIA_IDENTIDADE_INCOMPLETA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
38,VTK018515,Alarme Automotivo Fks Fk905 Universal Sensor De Presença 2 Controles Cr941 Cr955,EVOLUSOM-PR,9f33dd54-c7b0-4c9f-b538-7215b1bc7feb,144.9,7,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,,,,SEM_EVIDENCIA_DE_DEMANDA,64.35,PENDENCIAS_IDENTIDADE,PENDENTE,EVIDENCIA_IDENTIDADE_INCOMPLETA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
39,VTK017680,Cabo Rca Mxt Profissional Blindado 2 Rca + 2 Rca Vermelho 5mm - 03 Metros,EVOLUSOM-PR,dad83b6f-2a9d-419f-929a-ba6a72ce9543,33.99,50,IDENTIDADE_INCONCLUSIVA,PENDENCIA_VALIDACAO,NOVO_ANUNCIO_CANDIDATO,VIAVEL_NO_ALVO,,,,SEM_EVIDENCIA_DE_DEMANDA,39.14,PENDENCIAS_IDENTIDADE,PENDENTE,EVIDENCIA_IDENTIDADE_INCOMPLETA,APRESENTACAO_NAO_EXPLICITA | CUSTOS_VARIAVEIS_NAO_INFORMADOS | TRIBUTO_ESTIMADO,12 meses pelo fabricante — confirmação expressa Diretoria,False,,,
