"SKU";"Produto";"Categoria ML";"Impedimento ML";"GTIN obrigatório"
"VTK016004";"16 Pilhas Comum Aa Panasonic (4 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK016005";"16 Pilhas Comum Aaa Panasonic (2 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK016006";"16 Pilhas Comum Aaa Panasonic (4 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK016007";"16 Pilhas Comum D Panasonic (8 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK016008";"16 Pilhas Recarregaveis Eneloop Pro Aa Panasonic (8 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK016009";"16 Pilhas Recarregaveis Eneloop Pro Aaa Panasonic (8 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK016010";"16 Pilhas Recarregaveis Eneloop Std Aa Panasonic (8 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK016011";"16 Pilhas Recarregaveis Eneloop Std Aaa Panasonic (8 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK016012";"18 Pilhas Alcalinas Aa Panasonic (3 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016013";"18 Pilhas Alcalinas Aa Panasonic (9 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016014";"18 Pilhas Alcalinas Aaa Panasonic (3 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016015";"18 Pilhas Alcalinas Aaa Panasonic (9 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016016";"18 Pilhas Alcalinas C Panasonic (9  Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016017";"18 Pilhas Alcalinas D Panasonic (9  Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016018";"18 Pilhas Alcalinas Premium Aa Panasonic (3 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016019";"18 Pilhas Alcalinas Premium Aa Panasonic (9 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016020";"18 Pilhas Alcalinas Premium Aaa Panasonic (3 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016021";"18 Pilhas Alcalinas Premium Aaa Panasonic (9 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016022";"18 Pilhas Comum D Panasonic (9 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK016023";"18 Pilhas Recarregaveis Eneloop Pro Aa Panasonic (9 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK016024";"18 Pilhas Recarregaveis Eneloop Pro Aaa Panasonic (9 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK016025";"18 Pilhas Recarregaveis Eneloop Std Aa Panasonic (9 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK016026";"18 Pilhas Recarregaveis Eneloop Std Aaa Panasonic (9 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK016027";"192 Pilhas Alcalinas AA Panasonic (32 Cartelas C/6 Un)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016028";"192 Pilhas Alcalinas AA Panasonic (48 Cartelas C/4 Un)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016029";"192 Pilhas Alcalinas AAA Panasonic (32 Cartelas C/6 Un)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016030";"192 Pilhas Alcalinas AAA Panasonic (48 Cartelas C/4 Un)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016031";"192 Pilhas Alcalinas Premium AA Panasonic (32 Cartelas C/6 Un)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016032";"192 Pilhas Alcalinas Premium AAA Panasonic (32 Cartelas C/6 Un)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016033";"2 Baterias Alcalinas 12v Panasonic Lrv08-1b";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016034";"2 Baterias Alcalinas 9v Panasonic";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016036";"2 Tubos Pilha Comum Aa C/52un Cada Panasonic";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK016037";"2 Tubos Pilha Comum Aaa C/40un Cada";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK016039";"20 Baterias Alcalinas 12v Panasonic Lr-V08-1bt (2 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016040";"20 Baterias Alcalinas 9v Panasonic";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016046";"20 Baterias Cr2025 Panasonic (4 Cart)";"MLB7051";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016047";"20 Baterias Cr2032 Panasonic (4 Cart)";"MLB7051";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016049";"20 Pilhas Alcalinas Aa Panasonic (10 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016050";"20 Pilhas Alcalinas Aa Panasonic (5 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016051";"20 Pilhas Alcalinas Aaa Panasonic (10 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016052";"20 Pilhas Alcalinas Aaa Panasonic (5 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016053";"20 Pilhas Alcalinas C Panasonic (10  Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016054";"20 Pilhas Alcalinas D Panasonic (10  Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016055";"20 Pilhas Alcalinas Premium Aa Panasonic (10 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016056";"20 Pilhas Alcalinas Premium Aa Panasonic (5 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016057";"20 Pilhas Alcalinas Premium Aaa Panasonic (10 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016058";"20 Pilhas Alcalinas Premium Aaa Panasonic (5 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016059";"20 Pilhas Comum Aa Panasonic (5 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK016060";"20 Pilhas Comum Aaa Panasonic (5 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK016061";"20 Pilhas Comum D Panasonic (10 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK016062";"20 Pilhas Recarregaveis Eneloop Pro Aa Panasonic (10 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK016063";"20 Pilhas Recarregaveis Eneloop Pro Aaa Panasonic (10 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK016064";"20 Pilhas Recarregaveis Eneloop Std Aa Panasonic (10 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK016065";"20 Pilhas Recarregaveis Eneloop Std Aaa Panasonic (10 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK016066";"200 Pilhas Baterias Cr2032 3v Panasonic 40 Cartelas";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK016067";"24 Pilhas Alcalinas Aa Panasonic (4 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016068";"24 Pilhas Alcalinas Aa Panasonic (6 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016069";"24 Pilhas Alcalinas Aaa Panasonic (4 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016070";"24 Pilhas Alcalinas Aaa Panasonic (6 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016071";"24 Pilhas Alcalinas Premium AA Panasonic (12 Cartelas C/2 Un)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016072";"24 Pilhas Alcalinas Premium Aa Panasonic (4 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016073";"24 Pilhas Alcalinas Premium Aa Panasonic (6 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016074";"24 Pilhas Alcalinas Premium AAA Panasonic (12 Cartelas C/2 Un)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016075";"24 Pilhas Alcalinas Premium Aaa Panasonic (4 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016076";"24 Pilhas Alcalinas Premium Aaa Panasonic (6 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016077";"24 Pilhas Comum Aa Panasonic (3 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK016078";"24 Pilhas Comum Aa Panasonic (6 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK016079";"24 Pilhas Comum Aaa Panasonic (3 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK016080";"24 Pilhas Comum Aaa Panasonic (6 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK016082";"25 Baterias Cr2025 Panasonic (5 Cart)";"MLB7051";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016083";"25 Baterias Cr2032 Panasonic (5 Cart)";"MLB7051";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016084";"250 Pilhas Baterias Cr2032 3v Panasonic 50 Cartelas";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK016085";"28 Pilhas Alcalinas Aa Panasonic (7 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016086";"28 Pilhas Alcalinas Aaa Panasonic (7 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016087";"28 Pilhas Alcalinas Premium Aa Panasonic (7 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016088";"28 Pilhas Alcalinas Premium Aaa Panasonic (7 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016089";"28 Pilhas Comum Aa Panasonic (7 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK016090";"28 Pilhas Comum Aaa Panasonic (7 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK016091";"3 Baterias Alcalinas 12v Panasonic Lrv08-1b";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016092";"3 Baterias Alcalinas 9v Panasonic";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016094";"3 Tubos Pilha Comum Aa C/52un Cada Panasonic";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK016095";"3 Tubos Pilha Comum Aaa C/40un Cada";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK016099";"30 Baterias Alcalinas 12v Panasonic Lr-V08-1bt (3 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016100";"30 Baterias Alcalinas 9v Panasonic";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016102";"30 Baterias Cr2025 Panasonic (6 Cart)";"MLB7051";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016103";"30 Baterias Cr2032 Panasonic (6 Cart)";"MLB7051";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016104";"30 Pilhas Alcalinas Aa Panasonic (5 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016105";"30 Pilhas Alcalinas Aaa Panasonic (5 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016106";"30 Pilhas Alcalinas Premium Aa Panasonic (5 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016107";"30 Pilhas Alcalinas Premium Aaa Panasonic (5 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016108";"300 Pilhas Baterias Cr2032 3v Panasonic 60 Cartelas";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK016109";"32 Pilhas Alcalinas Aa Panasonic (8 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016110";"32 Pilhas Alcalinas Aaa Panasonic (8 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016111";"32 Pilhas Alcalinas Premium Aa Panasonic (8 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016112";"32 Pilhas Alcalinas Premium Aaa Panasonic (8 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016113";"32 Pilhas Comum Aa Panasonic (4 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK016114";"32 Pilhas Comum Aa Panasonic (8 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK016115";"32 Pilhas Comum Aaa Panasonic (4 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK016116";"32 Pilhas Comum Aaa Panasonic (8 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK016118";"35 Baterias Cr2025 Panasonic (7 Cart)";"MLB7051";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016119";"35 Baterias Cr2032 Panasonic (7 Cart)";"MLB7051";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016120";"36 Pilhas Alcalinas Aa Panasonic (6 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016121";"36 Pilhas Alcalinas Aa Panasonic (9 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016122";"36 Pilhas Alcalinas Aaa Panasonic (6 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016123";"36 Pilhas Alcalinas Aaa Panasonic (9 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016124";"36 Pilhas Alcalinas Premium Aa Panasonic (6 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016125";"36 Pilhas Alcalinas Premium Aa Panasonic (9 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016126";"36 Pilhas Alcalinas Premium Aaa Panasonic (6 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016127";"36 Pilhas Alcalinas Premium Aaa Panasonic (9 Cart)";"MLB7060";"Atributos obrigatórios pendentes: Código universal de produto";"SIM"
"VTK016128";"36 Pilhas Comum Aa Panasonic (9 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
"VTK016129";"36 Pilhas Comum Aaa Panasonic (9 Cart)";"MLB7060";"Atributos obrigatórios pendentes: É recarregável, Código universal de produto";"SIM"
